,value,experiments
310,2123904.0,
311,2123823.0,
312,2123696.0,
313,2123741.0,
314,2123871.0,
315,2123845.0,
316,2123730.0,
317,2123764.0,
318,2123871.0,
319,2123720.0,
320,2123864.0,
321,2123942.0,
322,2123915.0,
323,2123829.0,
324,2123811.0,
325,2123745.0,
326,2123800.0,
327,2123765.0,
328,2123747.0,
329,2123763.0,
330,2123751.0,
331,2123733.0,
332,2123773.0,
333,2123875.0,
334,2123632.0,
335,2123754.0,
336,2124003.0,
337,2123784.0,
338,2123870.0,
339,2123771.0,
340,2123928.0,
341,2123707.0,
342,2123898.0,
343,2123879.0,
344,2123672.0,
345,2123674.0,
346,2123727.0,
347,2123738.0,
348,2123837.0,
349,2123801.0,
350,2123748.0,
351,2123749.0,
352,2123695.0,
353,2123917.0,
354,2123875.0,
355,2123870.0,
356,2123702.0,
357,2123717.0,
358,2123886.0,
359,2123656.0,
360,2123792.0,
361,2123771.0,
362,2123718.0,
363,2123918.0,
364,2123869.0,
365,2123781.0,
366,2123807.0,
367,2123702.0,
368,2123810.0,
369,2123683.0,
370,2123881.0,
371,2123653.0,
372,2123921.0,
373,2123676.0,
374,2123886.0,
375,2123687.0,
376,2123810.0,
377,2123733.0,
378,2123861.0,
379,2123687.0,
380,2123628.0,
381,2123731.0,
382,2124012.0,
383,2123859.0,
384,2123695.0,
385,2123753.0,
386,2123840.0,
387,2123877.0,
388,2123726.0,
389,2123677.0,
390,2123886.0,
391,2123734.0,
392,2123679.0,
393,2123905.0,
394,2123849.0,
395,2123792.0,
396,2123689.0,
397,2123790.0,
398,2123834.0,
399,2123708.0,
400,2123861.0,
401,2123722.0,
402,2123707.0,
403,2123785.0,
404,2123728.0,
405,2123818.0,
406,2123691.0,
407,2123818.0,
408,2123757.0,
409,2123787.0,
410,2123921.0,
411,2123712.0,
412,2123759.0,
413,2123720.0,
414,2123928.0,
415,2123710.0,
416,2123641.0,
417,2123714.0,
418,2123725.0,
419,2123660.0,
420,2123790.0,
421,2123644.0,
422,2123895.0,
423,2123777.0,
424,2123718.0,
425,2123688.0,
426,2123741.0,
427,2123742.0,
428,2123770.0,
429,2123702.0,
430,2123825.0,
431,2123629.0,
432,2123782.0,
433,2123681.0,
434,2123833.0,
435,2123842.0,
436,2123718.0,
437,2123669.0,
438,2123827.0,
439,2123684.0,
440,2123896.0,
441,2123707.0,
442,2123720.0,
443,2123797.0,
444,2123645.0,
445,2123797.0,
446,2123716.0,
447,2123900.0,
448,2123689.0,
449,2123858.0,
450,2123721.0,
451,2123882.0,
452,2123745.0,
453,2123659.0,
454,2123733.0,
455,2123666.0,
456,2123832.0,
457,2123641.0,
458,2123834.0,
459,2123844.0,
460,2123678.0,
461,2123831.0,
462,2123639.0,
463,2123815.0,
464,2123751.0,
465,2123648.0,
466,2123764.0,
467,2123816.0,
468,2123692.0,
469,2123730.0,
470,2123917.0,
471,2123661.0,
472,2123793.0,
473,2123807.0,
474,2123684.0,
475,2123745.0,
476,2123659.0,
477,2123755.0,
478,2123651.0,
479,2123855.0,
480,2123662.0,
481,2123759.0,
482,2123741.0,
483,2123826.0,
484,2123713.0,
485,2123785.0,
486,2123738.0,
487,2123671.0,
488,2123828.0,
489,2123716.0,
490,2123858.0,
491,2123635.0,
492,2123773.0,
493,2123709.0,
494,2123771.0,
495,2123750.0,
496,2123806.0,
497,2123829.0,
498,2123719.0,
499,2123622.0,
500,2123672.0,
501,2123929.0,
502,2123669.0,
503,2123809.0,
504,2123735.0,
505,2123736.0,
506,2123892.0,
507,2123735.0,
508,2123729.0,
509,2123813.0,
510,2123685.0,
511,2123674.0,
512,2123751.0,
513,2123682.0,
514,2123825.0,
515,2123695.0,
516,2123850.0,
517,2123577.0,
518,2123791.0,
519,2123689.0,
520,2123633.0,
521,2123794.0,
522,2123727.0,
523,2123674.0,
524,2123621.0,
525,2123689.0,
526,2123615.0,
527,2123681.0,
528,2123753.0,
529,2123676.0,
530,2123725.0,
531,2123646.0,
532,2123713.0,
533,2123646.0,
534,2123671.0,
535,2123850.0,
536,2123670.0,
537,2123694.0,
538,2123826.0,
539,2123722.0,
540,2123719.0,
541,2123845.0,
542,2123732.0,
543,2123879.0,
544,2123738.0,
545,2123801.0,
546,2123682.0,
547,2123776.0,
548,2123761.0,
549,2123796.0,
550,2123604.0,
551,2123795.0,
552,2123649.0,
553,2123751.0,
554,2123728.0,
555,2123800.0,
556,2123694.0,
557,2123720.0,
558,2123672.0,
559,2123540.0,
560,2123708.0,
561,2123896.0,
562,2123658.0,
563,2123766.0,
564,2123693.0,
565,2123870.0,
566,2123727.0,
567,2123670.0,
568,2123808.0,
569,2123664.0,
570,2123626.0,
571,2123697.0,
572,2123794.0,
573,2123858.0,
574,2123690.0,
575,2123767.0,
576,2123703.0,
577,2123763.0,
578,2123656.0,
579,2123695.0,
580,2123824.0,
581,2123590.0,
582,2123792.0,
583,2123722.0,
584,2123658.0,
585,2123813.0,
586,2123587.0,
587,2123825.0,
588,2123722.0,
589,2123839.0,
590,2123684.0,
591,2123652.0,
592,2123810.0,
593,2123796.0,
594,2123723.0,
595,2123679.0,
596,2123841.0,
597,2123759.0,
598,2123574.0,
599,2123851.0,
600,2123652.0,
601,2123815.0,
602,2123612.0,
603,2123712.0,
604,2123850.0,
605,2123835.0,
606,2123701.0,
607,2123787.0,
608,2123685.0,
609,2123815.0,
610,2123608.0,
611,2123702.0,
612,2123618.0,
613,2123681.0,
614,2123609.0,
615,2123679.0,
616,2123733.0,
617,2123867.0,
618,2123681.0,
619,2123842.0,
620,2123656.0,
621,2123697.0,
622,2123828.0,
623,2123690.0,
624,2123787.0,
625,2123835.0,
626,2123726.0,
627,2123658.0,
628,2123863.0,
629,2123630.0,
630,2123666.0,
631,2123682.0,
632,2123639.0,
633,2123738.0,
634,2123584.0,
635,2123592.0,
636,2123653.0,
637,2123627.0,
638,2123745.0,
639,2123662.0,
640,2123686.0,
641,2123700.0,
642,2123638.0,
643,2123641.0,
644,2123813.0,
645,2123743.0,
646,2123579.0,
647,2123595.0,
648,2123890.0,
649,2123645.0,
650,2123682.0,
651,2123626.0,
652,2123736.0,
653,2123643.0,
654,2123558.0,
655,2123670.0,
656,2123647.0,
657,2123672.0,
658,2123797.0,
659,2123599.0,
660,2123626.0,
661,2123714.0,
662,2123736.0,
663,2123710.0,
664,2123718.0,
665,2123589.0,
666,2123872.0,
667,2123585.0,
668,2123650.0,
669,2123741.0,
670,2123628.0,
671,2123622.0,
672,2123760.0,
673,2123680.0,
674,2123648.0,
675,2123722.0,
676,2123564.0,
677,2123571.0,
678,2123600.0,
679,2123856.0,
680,2123738.0,
681,2123651.0,
682,2123542.0,
683,2123534.0,
684,2123697.0,
685,2123638.0,
686,2123689.0,
687,2123785.0,
688,2123657.0,
689,2123688.0,
690,2123822.0,
691,2123611.0,
692,2123660.0,
693,2123772.0,
694,2123728.0,
695,2123547.0,
696,2123712.0,
697,2123773.0,
698,2123781.0,
699,2123566.0,
700,2123640.0,
701,2123587.0,
702,2123855.0,
703,2123732.0,
704,2123855.0,
705,2123719.0,
706,2123578.0,
707,2123611.0,
708,2123657.0,
709,2123836.0,
710,2123725.0,
711,2123660.0,
712,2123721.0,
713,2123832.0,
714,2123527.0,
715,2123592.0,
716,2123658.0,
717,2123624.0,
718,2123759.0,
719,2123794.0,
720,2123625.0,
721,2123763.0,
722,2123840.0,
723,2123602.0,
724,2123613.0,
725,2123546.0,
726,2123718.0,
727,2123823.0,
728,2123604.0,
729,2123623.0,
730,2123644.0,
731,2123749.0,
732,2123527.0,
733,2123679.0,
734,2123636.0,
735,2123747.0,
736,2123793.0,
737,2123628.0,
738,2123574.0,
739,2123755.0,
740,2123733.0,
741,2123618.0,
742,2123682.0,
743,2123837.0,
744,2123654.0,
745,2123640.0,
746,2123757.0,
747,2123610.0,
748,2123610.0,
749,2123820.0,
750,2123582.0,
751,2123740.0,
752,2123813.0,
753,2123567.0,
754,2123608.0,
755,2123758.0,
756,2123625.0,
757,2123765.0,
758,2123601.0,
759,2123706.0,
760,2123760.0,
761,2123680.0,
762,2123844.0,
763,2123777.0,
764,2123554.0,
765,2123632.0,
766,2123802.0,
767,2123775.0,
768,2123613.0,
769,2123797.0,
770,2123772.0,
771,2123661.0,
772,2123768.0,
773,2123659.0,
774,2123733.0,
775,2123731.0,
776,2123664.0,
777,2123655.0,
778,2123744.0,
779,2123722.0,
780,2123729.0,
781,2123666.0,
782,2123551.0,
783,2123657.0,
784,2123683.0,
785,2123658.0,
786,2123663.0,
787,2123625.0,
788,2123787.0,
789,2123646.0,
790,2123760.0,
791,2123606.0,
792,2123608.0,
793,2123563.0,
794,2123602.0,
795,2123797.0,
796,2123817.0,
797,2123698.0,
798,2123669.0,
799,2123792.0,
800,2123804.0,
801,2123638.0,
802,2123623.0,
803,2123747.0,
804,2123768.0,
805,2123581.0,
806,2123645.0,
807,2123624.0,
808,2123576.0,
809,2123677.0,
810,2123736.0,
811,2123612.0,
812,2123570.0,
813,2123606.0,
814,2123689.0,
815,2123766.0,
816,2123577.0,
817,2123700.0,
818,2123803.0,
819,2123603.0,
820,2123595.0,
821,2123637.0,
822,2123562.0,
823,2123560.0,
824,2123659.0,
825,2123762.0,
826,2123629.0,
827,2123608.0,
828,2123745.0,
829,2123750.0,
830,2123690.0,
831,2123647.0,
832,2123793.0,
833,2123781.0,
834,2123654.0,
