light_level	ts
0,000000	2021-05-18T22:32:37:474
0,000000	2021-05-18T22:32:38:474
0,000000	2021-05-18T22:32:39:476
0,000000	2021-05-18T22:32:40:477
0,000000	2021-05-18T22:32:41:478
0,000000	2021-05-18T22:32:42:479
0,000000	2021-05-18T22:32:43:480
0,000000	2021-05-18T22:32:44:481
0,000000	2021-05-18T22:32:45:482
0,000000	2021-05-18T22:32:46:482
0,000000	2021-05-18T22:32:47:484
0,000000	2021-05-18T22:32:48:485
0,000000	2021-05-18T22:32:49:483
4,000000	2021-05-18T22:32:50:485
4,000000	2021-05-18T22:32:51:486
4,000000	2021-05-18T22:32:52:489
4,000000	2021-05-18T22:32:53:490
4,000000	2021-05-18T22:32:54:491
4,000000	2021-05-18T22:32:55:492
4,000000	2021-05-18T22:32:56:493
4,000000	2021-05-18T22:32:57:494
4,000000	2021-05-18T22:32:58:494
4,000000	2021-05-18T22:32:59:495
4,000000	2021-05-18T22:33:00:496
4,000000	2021-05-18T22:33:01:497
4,000000	2021-05-18T22:33:02:497
4,000000	2021-05-18T22:33:03:499
0,000000	2021-05-18T22:33:04:500
4,000000	2021-05-18T22:33:05:502
4,000000	2021-05-18T22:33:06:503
4,000000	2021-05-18T22:33:07:503
4,000000	2021-05-18T22:33:08:504
0,000000	2021-05-18T22:33:09:506
0,000000	2021-05-18T22:33:10:506
0,000000	2021-05-18T22:33:11:506
0,000000	2021-05-18T22:33:12:508
0,000000	2021-05-18T22:33:13:508
0,000000	2021-05-18T22:33:14:702
0,000000	2021-05-18T22:33:15:511
0,000000	2021-05-18T22:33:16:512
0,000000	2021-05-18T22:33:17:513
0,000000	2021-05-18T22:33:18:514
0,000000	2021-05-18T22:33:19:514
0,000000	2021-05-18T22:33:20:516
0,000000	2021-05-18T22:33:21:517
0,000000	2021-05-18T22:33:22:518
0,000000	2021-05-18T22:33:23:518
0,000000	2021-05-18T22:33:24:520
0,000000	2021-05-18T22:33:25:521
0,000000	2021-05-18T22:33:26:522
0,000000	2021-05-18T22:33:27:522
0,000000	2021-05-18T22:33:28:524
0,000000	2021-05-18T22:33:29:762
4,000000	2021-05-18T22:33:30:527
0,000000	2021-05-18T22:33:31:528
0,000000	2021-05-18T22:33:32:529
0,000000	2021-05-18T22:33:33:529
0,000000	2021-05-18T22:33:34:530
0,000000	2021-05-18T22:33:35:530
0,000000	2021-05-18T22:33:36:532
0,000000	2021-05-18T22:33:37:533
0,000000	2021-05-18T22:33:38:534
0,000000	2021-05-18T22:33:39:534
0,000000	2021-05-18T22:33:40:536
0,000000	2021-05-18T22:33:41:537
0,000000	2021-05-18T22:33:42:537
0,000000	2021-05-18T22:33:43:538
0,000000	2021-05-18T22:33:44:536
0,000000	2021-05-18T22:33:45:540
0,000000	2021-05-18T22:33:46:542
8,000000	2021-05-18T22:33:47:543
28,000000	2021-05-18T22:33:48:544
28,000000	2021-05-18T22:33:49:545
28,000000	2021-05-18T22:33:50:546
28,000000	2021-05-18T22:33:51:546
20,000000	2021-05-18T22:33:52:548
0,000000	2021-05-18T22:33:53:549
28,000000	2021-05-18T22:33:54:550
24,000000	2021-05-18T22:33:55:549
24,000000	2021-05-18T22:33:56:557
20,000000	2021-05-18T22:33:57:551
