light_intensity	ts
2549648,000000	2021-05-18T22:27:37:247
2549686,000000	2021-05-18T22:27:37:280
2550626,000000	2021-05-18T22:27:37:325
2552525,000000	2021-05-18T22:27:37:362
2553607,000000	2021-05-18T22:27:37:404
2555508,000000	2021-05-18T22:27:37:442
2556363,000000	2021-05-18T22:27:37:484
2558266,000000	2021-05-18T22:27:37:522
2560599,000000	2021-05-18T22:27:37:564
2562164,000000	2021-05-18T22:27:37:602
2565860,000000	2021-05-18T22:27:37:645
2565080,000000	2021-05-18T22:27:37:682
2563592,000000	2021-05-18T22:27:37:724
2560173,000000	2021-05-18T22:27:37:762
2556114,000000	2021-05-18T22:27:37:804
2556077,000000	2021-05-18T22:27:37:843
2555234,000000	2021-05-18T22:27:37:884
2556212,000000	2021-05-18T22:27:37:922
2557834,000000	2021-05-18T22:27:37:964
2556735,000000	2021-05-18T22:27:38:2
2557115,000000	2021-05-18T22:27:38:43
2557419,000000	2021-05-18T22:27:38:83
2558624,000000	2021-05-18T22:27:38:124
2561223,000000	2021-05-18T22:27:38:163
2561928,000000	2021-05-18T22:27:38:204
2564958,000000	2021-05-18T22:27:38:243
2565486,000000	2021-05-18T22:27:38:284
2568185,000000	2021-05-18T22:27:38:323
2571151,000000	2021-05-18T22:27:38:364
2569583,000000	2021-05-18T22:27:38:403
2568192,000000	2021-05-18T22:27:38:445
2563571,000000	2021-05-18T22:27:38:483
2561253,000000	2021-05-18T22:27:38:524
2561537,000000	2021-05-18T22:27:38:563
2561218,000000	2021-05-18T22:27:38:604
2561728,000000	2021-05-18T22:27:38:643
2563381,000000	2021-05-18T22:27:38:685
2562277,000000	2021-05-18T22:27:38:723
2563478,000000	2021-05-18T22:27:38:764
2563352,000000	2021-05-18T22:27:38:804
2565539,000000	2021-05-18T22:27:38:845
2567072,000000	2021-05-18T22:27:38:884
2567652,000000	2021-05-18T22:27:38:925
2570642,000000	2021-05-18T22:27:38:963
2571613,000000	2021-05-18T22:27:39:6
2573626,000000	2021-05-18T22:27:39:44
2573397,000000	2021-05-18T22:27:39:85
2571907,000000	2021-05-18T22:27:39:124
2566442,000000	2021-05-18T22:27:39:173
2563776,000000	2021-05-18T22:27:39:207
2562104,000000	2021-05-18T22:27:39:246
2562519,000000	2021-05-18T22:27:39:284
2561939,000000	2021-05-18T22:27:39:325
2562151,000000	2021-05-18T22:27:39:361
2561961,000000	2021-05-18T22:27:39:404
2561581,000000	2021-05-18T22:27:39:444
2561697,000000	2021-05-18T22:27:39:485
2562821,000000	2021-05-18T22:27:39:524
2563924,000000	2021-05-18T22:27:39:565
2565788,000000	2021-05-18T22:27:39:604
2567094,000000	2021-05-18T22:27:39:645
2569859,000000	2021-05-18T22:27:39:684
2570904,000000	2021-05-18T22:27:39:725
2571564,000000	2021-05-18T22:27:39:766
2570518,000000	2021-05-18T22:27:39:805
2564924,000000	2021-05-18T22:27:39:845
2562504,000000	2021-05-18T22:27:39:885
2558909,000000	2021-05-18T22:27:39:924
2559115,000000	2021-05-18T22:27:39:966
2557929,000000	2021-05-18T22:27:40:5
2559728,000000	2021-05-18T22:27:40:45
2558175,000000	2021-05-18T22:27:40:84
2557782,000000	2021-05-18T22:27:40:125
2558832,000000	2021-05-18T22:27:40:165
2558691,000000	2021-05-18T22:27:40:206
2559248,000000	2021-05-18T22:27:40:245
2560342,000000	2021-05-18T22:27:40:286
2563130,000000	2021-05-18T22:27:40:325
2563276,000000	2021-05-18T22:27:40:366
2565636,000000	2021-05-18T22:27:40:405
2566698,000000	2021-05-18T22:27:40:446
2562593,000000	2021-05-18T22:27:40:485
2559413,000000	2021-05-18T22:27:40:526
2554262,000000	2021-05-18T22:27:40:565
2553566,000000	2021-05-18T22:27:40:606
2551917,000000	2021-05-18T22:27:40:645
2553296,000000	2021-05-18T22:27:40:686
2552165,000000	2021-05-18T22:27:40:725
2551572,000000	2021-05-18T22:27:40:767
2551969,000000	2021-05-18T22:27:40:805
2550426,000000	2021-05-18T22:27:40:847
2552204,000000	2021-05-18T22:27:40:885
2551587,000000	2021-05-18T22:27:40:927
2552858,000000	2021-05-18T22:27:40:965
2554319,000000	2021-05-18T22:27:41:6
2556242,000000	2021-05-18T22:27:41:45
2552867,000000	2021-05-18T22:27:41:87
2548423,000000	2021-05-18T22:27:41:125
2544781,000000	2021-05-18T22:27:41:167
2542328,000000	2021-05-18T22:27:41:206
2542869,000000	2021-05-18T22:27:41:248
2541873,000000	2021-05-18T22:27:41:285
2543420,000000	2021-05-18T22:27:41:327
2541772,000000	2021-05-18T22:27:41:365
2541410,000000	2021-05-18T22:27:41:407
2541647,000000	2021-05-18T22:27:41:446
2542176,000000	2021-05-18T22:27:41:488
2544232,000000	2021-05-18T22:27:41:525
2544343,000000	2021-05-18T22:27:41:568
2546415,000000	2021-05-18T22:27:41:605
2547279,000000	2021-05-18T22:27:41:648
2546583,000000	2021-05-18T22:27:41:686
2540542,000000	2021-05-18T22:27:41:729
2536103,000000	2021-05-18T22:27:41:766
2532298,000000	2021-05-18T22:27:41:808
2532407,000000	2021-05-18T22:27:41:846
2530596,000000	2021-05-18T22:27:41:888
2531552,000000	2021-05-18T22:27:41:926
2529907,000000	2021-05-18T22:27:41:968
2529339,000000	2021-05-18T22:27:42:6
2528961,000000	2021-05-18T22:27:42:49
2530737,000000	2021-05-18T22:27:42:86
2530057,000000	2021-05-18T22:27:42:128
2531126,000000	2021-05-18T22:27:42:177
2532705,000000	2021-05-18T22:27:42:209
2533837,000000	2021-05-18T22:27:42:247
2535927,000000	2021-05-18T22:27:42:288
2534557,000000	2021-05-18T22:27:42:327
2530510,000000	2021-05-18T22:27:42:369
2524957,000000	2021-05-18T22:27:42:407
2521338,000000	2021-05-18T22:27:42:449
2520271,000000	2021-05-18T22:27:42:486
2518337,000000	2021-05-18T22:27:42:529
2519400,000000	2021-05-18T22:27:42:567
2517539,000000	2021-05-18T22:27:42:609
2518168,000000	2021-05-18T22:27:42:648
2516732,000000	2021-05-18T22:27:42:689
2517073,000000	2021-05-18T22:27:42:727
2519001,000000	2021-05-18T22:27:42:857
2519814,000000	2021-05-18T22:27:42:868
2521424,000000	2021-05-18T22:27:42:876
2521807,000000	2021-05-18T22:27:42:887
2523538,000000	2021-05-18T22:27:42:929
2525155,000000	2021-05-18T22:27:42:967
2526576,000000	2021-05-18T22:27:43:9
2524810,000000	2021-05-18T22:27:43:48
2520754,000000	2021-05-18T22:27:43:89
2515789,000000	2021-05-18T22:27:43:128
2512554,000000	2021-05-18T22:27:43:169
2512183,000000	2021-05-18T22:27:43:208
2510732,000000	2021-05-18T22:27:43:250
2512186,000000	2021-05-18T22:27:43:288
2510586,000000	2021-05-18T22:27:43:329
2510178,000000	2021-05-18T22:27:43:368
2511659,000000	2021-05-18T22:27:43:409
2510935,000000	2021-05-18T22:27:43:448
2513437,000000	2021-05-18T22:27:43:489
2513478,000000	2021-05-18T22:27:43:528
2515634,000000	2021-05-18T22:27:43:569
2516991,000000	2021-05-18T22:27:43:608
2519943,000000	2021-05-18T22:27:43:650
2521032,000000	2021-05-18T22:27:43:687
2523362,000000	2021-05-18T22:27:43:729
2525269,000000	2021-05-18T22:27:43:768
2525130,000000	2021-05-18T22:27:43:809
2520572,000000	2021-05-18T22:27:43:849
2516583,000000	2021-05-18T22:27:43:890
2515433,000000	2021-05-18T22:27:43:929
2514553,000000	2021-05-18T22:27:43:970
2515632,000000	2021-05-18T22:27:44:9
2515751,000000	2021-05-18T22:27:44:50
2516173,000000	2021-05-18T22:27:44:89
2517359,000000	2021-05-18T22:27:44:130
2516992,000000	2021-05-18T22:27:44:169
2518438,000000	2021-05-18T22:27:44:210
