light_level	ts
0,000000	2021-05-18T22:30:17:337
0,000000	2021-05-18T22:30:18:338
0,000000	2021-05-18T22:30:19:338
0,000000	2021-05-18T22:30:20:340
0,000000	2021-05-18T22:30:21:340
0,000000	2021-05-18T22:30:22:342
0,000000	2021-05-18T22:30:23:343
0,000000	2021-05-18T22:30:24:344
0,000000	2021-05-18T22:30:25:344
0,000000	2021-05-18T22:30:26:346
0,000000	2021-05-18T22:30:27:347
0,000000	2021-05-18T22:30:28:348
0,000000	2021-05-18T22:30:29:349
0,000000	2021-05-18T22:30:30:350
0,000000	2021-05-18T22:30:31:351
0,000000	2021-05-18T22:30:32:351
0,000000	2021-05-18T22:30:33:353
0,000000	2021-05-18T22:30:34:354
0,000000	2021-05-18T22:30:35:354
0,000000	2021-05-18T22:30:36:356
0,000000	2021-05-18T22:30:37:357
0,000000	2021-05-18T22:30:38:358
0,000000	2021-05-18T22:30:39:358
0,000000	2021-05-18T22:30:40:360
0,000000	2021-05-18T22:30:41:361
0,000000	2021-05-18T22:30:42:362
0,000000	2021-05-18T22:30:43:362
0,000000	2021-05-18T22:30:44:363
0,000000	2021-05-18T22:30:45:364
0,000000	2021-05-18T22:30:46:366
0,000000	2021-05-18T22:30:47:366
0,000000	2021-05-18T22:30:48:367
0,000000	2021-05-18T22:30:49:368
0,000000	2021-05-18T22:30:50:368
0,000000	2021-05-18T22:30:51:370
0,000000	2021-05-18T22:30:52:381
0,000000	2021-05-18T22:30:53:372
0,000000	2021-05-18T22:30:54:373
0,000000	2021-05-18T22:30:55:374
0,000000	2021-05-18T22:30:56:375
0,000000	2021-05-18T22:30:57:376
0,000000	2021-05-18T22:30:58:377
0,000000	2021-05-18T22:30:59:378
0,000000	2021-05-18T22:31:00:389
0,000000	2021-05-18T22:31:01:380
0,000000	2021-05-18T22:31:02:381
0,000000	2021-05-18T22:31:03:382
0,000000	2021-05-18T22:31:04:384
0,000000	2021-05-18T22:31:05:384
0,000000	2021-05-18T22:31:06:385
0,000000	2021-05-18T22:31:07:386
0,000000	2021-05-18T22:31:08:387
0,000000	2021-05-18T22:31:09:389
0,000000	2021-05-18T22:31:10:390
0,000000	2021-05-18T22:31:11:390
0,000000	2021-05-18T22:31:12:403
0,000000	2021-05-18T22:31:13:404
0,000000	2021-05-18T22:31:14:394
0,000000	2021-05-18T22:31:15:394
0,000000	2021-05-18T22:31:16:396
0,000000	2021-05-18T22:31:17:397
0,000000	2021-05-18T22:31:18:398
0,000000	2021-05-18T22:31:19:398
0,000000	2021-05-18T22:31:20:400
0,000000	2021-05-18T22:31:21:401
0,000000	2021-05-18T22:31:22:402
0,000000	2021-05-18T22:31:23:402
0,000000	2021-05-18T22:31:24:404
0,000000	2021-05-18T22:31:25:408
0,000000	2021-05-18T22:31:26:406
0,000000	2021-05-18T22:31:27:406
0,000000	2021-05-18T22:31:28:407
0,000000	2021-05-18T22:31:29:408
0,000000	2021-05-18T22:31:30:409
0,000000	2021-05-18T22:31:31:410
0,000000	2021-05-18T22:31:32:424
0,000000	2021-05-18T22:31:33:413
0,000000	2021-05-18T22:31:34:414
0,000000	2021-05-18T22:31:35:414
0,000000	2021-05-18T22:31:36:425
0,000000	2021-05-18T22:31:37:416
0,000000	2021-05-18T22:31:38:417
0,000000	2021-05-18T22:31:39:418
0,000000	2021-05-18T22:31:40:419
0,000000	2021-05-18T22:31:41:420
0,000000	2021-05-18T22:31:42:421
0,000000	2021-05-18T22:31:43:422
0,000000	2021-05-18T22:31:44:423
0,000000	2021-05-18T22:31:45:424
0,000000	2021-05-18T22:31:46:424
0,000000	2021-05-18T22:31:47:426
0,000000	2021-05-18T22:31:48:427
0,000000	2021-05-18T22:31:49:427
0,000000	2021-05-18T22:31:50:428
0,000000	2021-05-18T22:31:51:430
0,000000	2021-05-18T22:31:52:431
0,000000	2021-05-18T22:31:53:431
0,000000	2021-05-18T22:31:54:432
0,000000	2021-05-18T22:31:55:433
0,000000	2021-05-18T22:31:56:434
0,000000	2021-05-18T22:31:57:434
0,000000	2021-05-18T22:31:58:436
0,000000	2021-05-18T22:31:59:437
0,000000	2021-05-18T22:32:00:438
0,000000	2021-05-18T22:32:01:438
0,000000	2021-05-18T22:32:02:440
0,000000	2021-05-18T22:32:03:441
0,000000	2021-05-18T22:32:04:442
0,000000	2021-05-18T22:32:05:442
0,000000	2021-05-18T22:32:06:443
0,000000	2021-05-18T22:32:07:445
0,000000	2021-05-18T22:32:08:446
0,000000	2021-05-18T22:32:09:446
0,000000	2021-05-18T22:32:10:448
0,000000	2021-05-18T22:32:11:448
0,000000	2021-05-18T22:32:12:450
0,000000	2021-05-18T22:32:13:450
0,000000	2021-05-18T22:32:14:452
0,000000	2021-05-18T22:32:15:452
0,000000	2021-05-18T22:32:16:453
0,000000	2021-05-18T22:32:17:454
0,000000	2021-05-18T22:32:18:456
0,000000	2021-05-18T22:32:19:456
0,000000	2021-05-18T22:32:20:457
0,000000	2021-05-18T22:32:21:458
0,000000	2021-05-18T22:32:22:459
0,000000	2021-05-18T22:32:23:461
0,000000	2021-05-18T22:32:24:461
0,000000	2021-05-18T22:32:25:462
0,000000	2021-05-18T22:32:26:463
0,000000	2021-05-18T22:32:27:464
0,000000	2021-05-18T22:32:28:465
0,000000	2021-05-18T22:32:29:466
0,000000	2021-05-18T22:32:30:467
0,000000	2021-05-18T22:32:31:468
0,000000	2021-05-18T22:32:32:467
0,000000	2021-05-18T22:32:33:470
0,000000	2021-05-18T22:32:34:471
0,000000	2021-05-18T22:32:35:471
0,000000	2021-05-18T22:32:36:473
