light_intensity	ts
2671902,000000	2021-05-18T22:32:37:269
2670772,000000	2021-05-18T22:32:37:297
2667614,000000	2021-05-18T22:32:37:335
2667405,000000	2021-05-18T22:32:37:376
2667848,000000	2021-05-18T22:32:37:415
2669284,000000	2021-05-18T22:32:37:457
2668156,000000	2021-05-18T22:32:37:495
2668423,000000	2021-05-18T22:32:37:537
2668519,000000	2021-05-18T22:32:37:575
2669310,000000	2021-05-18T22:32:37:616
2672134,000000	2021-05-18T22:32:37:655
2673137,000000	2021-05-18T22:32:37:697
2673268,000000	2021-05-18T22:32:37:735
2674895,000000	2021-05-18T22:32:37:777
2678848,000000	2021-05-18T22:32:37:815
2680774,000000	2021-05-18T22:32:37:857
2679430,000000	2021-05-18T22:32:37:895
2677550,000000	2021-05-18T22:32:37:937
2676554,000000	2021-05-18T22:32:37:976
2673406,000000	2021-05-18T22:32:38:17
2672914,000000	2021-05-18T22:32:38:54
2673706,000000	2021-05-18T22:32:38:97
2674698,000000	2021-05-18T22:32:38:135
2676480,000000	2021-05-18T22:32:38:179
2675823,000000	2021-05-18T22:32:38:216
2676446,000000	2021-05-18T22:32:38:257
2677226,000000	2021-05-18T22:32:38:296
2677740,000000	2021-05-18T22:32:38:337
2679283,000000	2021-05-18T22:32:38:376
2682422,000000	2021-05-18T22:32:38:417
2682756,000000	2021-05-18T22:32:38:456
2684841,000000	2021-05-18T22:32:38:498
2688169,000000	2021-05-18T22:32:38:536
2688280,000000	2021-05-18T22:32:38:578
2684608,000000	2021-05-18T22:32:38:616
2682406,000000	2021-05-18T22:32:38:657
2681310,000000	2021-05-18T22:32:38:696
2681223,000000	2021-05-18T22:32:38:738
2681324,000000	2021-05-18T22:32:38:777
2682844,000000	2021-05-18T22:32:38:818
2683886,000000	2021-05-18T22:32:38:857
2684876,000000	2021-05-18T22:32:38:898
2686756,000000	2021-05-18T22:32:38:937
2688429,000000	2021-05-18T22:32:38:977
2689764,000000	2021-05-18T22:32:39:16
2690279,000000	2021-05-18T22:32:39:57
2691923,000000	2021-05-18T22:32:39:97
2693779,000000	2021-05-18T22:32:39:138
2697430,000000	2021-05-18T22:32:39:177
2697615,000000	2021-05-18T22:32:39:218
2697171,000000	2021-05-18T22:32:39:257
2695837,000000	2021-05-18T22:32:39:299
2692300,000000	2021-05-18T22:32:39:337
2690652,000000	2021-05-18T22:32:39:378
2689736,000000	2021-05-18T22:32:39:417
2691555,000000	2021-05-18T22:32:39:458
2692319,000000	2021-05-18T22:32:39:497
2691407,000000	2021-05-18T22:32:39:539
2691105,000000	2021-05-18T22:32:39:577
2691575,000000	2021-05-18T22:32:39:618
2693015,000000	2021-05-18T22:32:39:657
2693225,000000	2021-05-18T22:32:39:699
2694486,000000	2021-05-18T22:32:39:736
2695752,000000	2021-05-18T22:32:39:779
2698875,000000	2021-05-18T22:32:39:817
2699150,000000	2021-05-18T22:32:39:859
2701001,000000	2021-05-18T22:32:39:897
2702413,000000	2021-05-18T22:32:39:939
2700674,000000	2021-05-18T22:32:39:977
2697822,000000	2021-05-18T22:32:40:19
2697001,000000	2021-05-18T22:32:40:57
2694239,000000	2021-05-18T22:32:40:99
2693935,000000	2021-05-18T22:32:40:137
2694827,000000	2021-05-18T22:32:40:179
2696830,000000	2021-05-18T22:32:40:217
2697533,000000	2021-05-18T22:32:40:259
2696245,000000	2021-05-18T22:32:40:297
2696781,000000	2021-05-18T22:32:40:340
2698460,000000	2021-05-18T22:32:40:377
2699884,000000	2021-05-18T22:32:40:420
2701852,000000	2021-05-18T22:32:40:457
2704569,000000	2021-05-18T22:32:40:500
2707059,000000	2021-05-18T22:32:40:538
2707989,000000	2021-05-18T22:32:40:579
2710172,000000	2021-05-18T22:32:40:618
2711995,000000	2021-05-18T22:32:40:660
2708768,000000	2021-05-18T22:32:40:698
2707780,000000	2021-05-18T22:32:40:740
2705404,000000	2021-05-18T22:32:40:778
2706255,000000	2021-05-18T22:32:40:820
2706050,000000	2021-05-18T22:32:40:857
2708655,000000	2021-05-18T22:32:40:900
2708328,000000	2021-05-18T22:32:40:938
2709650,000000	2021-05-18T22:32:40:980
2708797,000000	2021-05-18T22:32:41:18
2710113,000000	2021-05-18T22:32:41:60
2710982,000000	2021-05-18T22:32:41:98
2714337,000000	2021-05-18T22:32:41:141
2714485,000000	2021-05-18T22:32:41:177
2716341,000000	2021-05-18T22:32:41:220
2718404,000000	2021-05-18T22:32:41:258
2721945,000000	2021-05-18T22:32:41:301
2722518,000000	2021-05-18T22:32:41:339
2721913,000000	2021-05-18T22:32:41:380
2720803,000000	2021-05-18T22:32:41:418
2717666,000000	2021-05-18T22:32:41:460
2717256,000000	2021-05-18T22:32:41:499
2715374,000000	2021-05-18T22:32:41:540
2716310,000000	2021-05-18T22:32:41:579
2717035,000000	2021-05-18T22:32:41:620
2718069,000000	2021-05-18T22:32:41:659
2718096,000000	2021-05-18T22:32:41:700
2718923,000000	2021-05-18T22:32:41:739
2719565,000000	2021-05-18T22:32:41:781
2721307,000000	2021-05-18T22:32:41:819
2722341,000000	2021-05-18T22:32:41:861
2725312,000000	2021-05-18T22:32:41:899
2725945,000000	2021-05-18T22:32:41:941
2727779,000000	2021-05-18T22:32:41:978
2729508,000000	2021-05-18T22:32:42:21
2732809,000000	2021-05-18T22:32:42:59
2732334,000000	2021-05-18T22:32:42:101
2731519,000000	2021-05-18T22:32:42:140
2729727,000000	2021-05-18T22:32:42:180
2728433,000000	2021-05-18T22:32:42:220
2727736,000000	2021-05-18T22:32:42:261
2728417,000000	2021-05-18T22:32:42:300
2731117,000000	2021-05-18T22:32:42:341
2731112,000000	2021-05-18T22:32:42:380
2731874,000000	2021-05-18T22:32:42:421
2733689,000000	2021-05-18T22:32:42:460
2733792,000000	2021-05-18T22:32:42:502
2735129,000000	2021-05-18T22:32:42:540
2737036,000000	2021-05-18T22:32:42:581
2738721,000000	2021-05-18T22:32:42:620
2740956,000000	2021-05-18T22:32:42:661
2742738,000000	2021-05-18T22:32:42:699
2746181,000000	2021-05-18T22:32:42:742
2747109,000000	2021-05-18T22:32:42:781
2749044,000000	2021-05-18T22:32:42:821
2746505,000000	2021-05-18T22:32:42:861
2744771,000000	2021-05-18T22:32:42:902
2742743,000000	2021-05-18T22:32:42:941
2743493,000000	2021-05-18T22:32:42:982
2743163,000000	2021-05-18T22:32:43:20
2745243,000000	2021-05-18T22:32:43:61
2745448,000000	2021-05-18T22:32:43:100
2745643,000000	2021-05-18T22:32:43:141
2745944,000000	2021-05-18T22:32:43:181
2747903,000000	2021-05-18T22:32:43:222
2747915,000000	2021-05-18T22:32:43:261
2749583,000000	2021-05-18T22:32:43:302
2753041,000000	2021-05-18T22:32:43:341
2753122,000000	2021-05-18T22:32:43:382
2756238,000000	2021-05-18T22:32:43:421
2756138,000000	2021-05-18T22:32:43:461
2757742,000000	2021-05-18T22:32:43:501
2758300,000000	2021-05-18T22:32:43:543
2757116,000000	2021-05-18T22:32:43:581
2754947,000000	2021-05-18T22:32:43:622
2753727,000000	2021-05-18T22:32:43:661
2752839,000000	2021-05-18T22:32:43:703
2753670,000000	2021-05-18T22:32:43:741
2754571,000000	2021-05-18T22:32:43:864
2755091,000000	2021-05-18T22:32:43:872
2755127,000000	2021-05-18T22:32:43:879
