light_intensity	ts
2627077,000000	2021-05-18T22:07:42:997
2619809,000000	2021-05-18T22:07:43:40
2615070,000000	2021-05-18T22:07:43:78
2611888,000000	2021-05-18T22:07:43:119
2609935,000000	2021-05-18T22:07:43:159
2609597,000000	2021-05-18T22:07:43:199
2609656,000000	2021-05-18T22:07:43:238
2609963,000000	2021-05-18T22:07:43:280
2609462,000000	2021-05-18T22:07:43:318
2609501,000000	2021-05-18T22:07:43:359
2608602,000000	2021-05-18T22:07:43:398
2609449,000000	2021-05-18T22:07:43:440
2610660,000000	2021-05-18T22:07:43:478
2612011,000000	2021-05-18T22:07:43:520
2613629,000000	2021-05-18T22:07:43:558
2614928,000000	2021-05-18T22:07:43:600
2616560,000000	2021-05-18T22:07:43:637
2618485,000000	2021-05-18T22:07:43:680
2618711,000000	2021-05-18T22:07:43:718
2614918,000000	2021-05-18T22:07:43:759
2609702,000000	2021-05-18T22:07:43:798
2604523,000000	2021-05-18T22:07:43:839
2601476,000000	2021-05-18T22:07:43:878
2599595,000000	2021-05-18T22:07:43:919
2598362,000000	2021-05-18T22:07:43:958
2597723,000000	2021-05-18T22:07:44:0
2596038,000000	2021-05-18T22:07:44:38
2596657,000000	2021-05-18T22:07:44:80
2595965,000000	2021-05-18T22:07:44:118
2595769,000000	2021-05-18T22:07:44:171
2596184,000000	2021-05-18T22:07:44:197
2599074,000000	2021-05-18T22:07:44:240
2599429,000000	2021-05-18T22:07:44:278
2601273,000000	2021-05-18T22:07:44:321
2603234,000000	2021-05-18T22:07:44:359
2605360,000000	2021-05-18T22:07:44:400
2609217,000000	2021-05-18T22:07:44:439
2612172,000000	2021-05-18T22:07:44:480
2614022,000000	2021-05-18T22:07:44:518
2613598,000000	2021-05-18T22:07:44:561
2609256,000000	2021-05-18T22:07:44:597
2605926,000000	2021-05-18T22:07:44:639
2602681,000000	2021-05-18T22:07:44:678
2601234,000000	2021-05-18T22:07:44:720
2600357,000000	2021-05-18T22:07:44:768
2602892,000000	2021-05-18T22:07:44:800
2603611,000000	2021-05-18T22:07:44:840
2602832,000000	2021-05-18T22:07:44:880
2603198,000000	2021-05-18T22:07:44:918
2604539,000000	2021-05-18T22:07:44:960
2606537,000000	2021-05-18T22:07:44:997
2608551,000000	2021-05-18T22:07:45:40
2612153,000000	2021-05-18T22:07:45:90
2614462,000000	2021-05-18T22:07:45:120
2617200,000000	2021-05-18T22:07:45:158
2618344,000000	2021-05-18T22:07:45:200
2621327,000000	2021-05-18T22:07:45:238
2625295,000000	2021-05-18T22:07:45:280
2627164,000000	2021-05-18T22:07:45:318
2631996,000000	2021-05-18T22:07:45:359
2632926,000000	2021-05-18T22:07:45:397
2631448,000000	2021-05-18T22:07:45:440
2628129,000000	2021-05-18T22:07:45:479
2625637,000000	2021-05-18T22:07:45:520
2624622,000000	2021-05-18T22:07:45:559
2624486,000000	2021-05-18T22:07:45:599
2626573,000000	2021-05-18T22:07:45:638
2627158,000000	2021-05-18T22:07:45:679
2628440,000000	2021-05-18T22:07:45:719
2627781,000000	2021-05-18T22:07:45:761
