light_level	ts
24,000000	2021-05-15T14:21:32:185
28,000000	2021-05-15T14:21:33:185
24,000000	2021-05-15T14:21:34:186
24,000000	2021-05-15T14:21:35:188
24,000000	2021-05-15T14:21:36:188
28,000000	2021-05-15T14:21:37:190
28,000000	2021-05-15T14:21:38:190
24,000000	2021-05-15T14:21:39:191
28,000000	2021-05-15T14:21:40:193
20,000000	2021-05-15T14:21:41:193
28,000000	2021-05-15T14:21:42:194
24,000000	2021-05-15T14:21:43:197
28,000000	2021-05-15T14:21:44:196
20,000000	2021-05-15T14:21:45:197
28,000000	2021-05-15T14:21:46:199
20,000000	2021-05-15T14:21:47:199
24,000000	2021-05-15T14:21:48:200
24,000000	2021-05-15T14:21:49:201
20,000000	2021-05-15T14:21:50:202
24,000000	2021-05-15T14:21:51:203
24,000000	2021-05-15T14:21:52:204
24,000000	2021-05-15T14:21:53:205
16,000000	2021-05-15T14:21:54:206
24,000000	2021-05-15T14:21:55:207
16,000000	2021-05-15T14:21:56:208
24,000000	2021-05-15T14:21:57:209
16,000000	2021-05-15T14:21:58:210
24,000000	2021-05-15T14:21:59:211
20,000000	2021-05-15T14:22:00:212
20,000000	2021-05-15T14:22:01:214
24,000000	2021-05-15T14:22:02:213
16,000000	2021-05-15T14:22:03:215
28,000000	2021-05-15T14:22:04:216
16,000000	2021-05-15T14:22:05:217
28,000000	2021-05-15T14:22:06:217
16,000000	2021-05-15T14:22:07:219
28,000000	2021-05-15T14:22:08:220
16,000000	2021-05-15T14:22:09:221
24,000000	2021-05-15T14:22:10:222
12,000000	2021-05-15T14:22:11:223
28,000000	2021-05-15T14:22:12:224
16,000000	2021-05-15T14:22:13:225
28,000000	2021-05-15T14:22:14:226
16,000000	2021-05-15T14:22:15:227
36,000000	2021-05-15T14:22:16:228
24,000000	2021-05-15T14:22:17:229
28,000000	2021-05-15T14:22:18:229
20,000000	2021-05-15T14:22:19:230
24,000000	2021-05-15T14:22:20:232
20,000000	2021-05-15T14:22:21:233
20,000000	2021-05-15T14:22:22:233
20,000000	2021-05-15T14:22:23:236
20,000000	2021-05-15T14:22:24:236
20,000000	2021-05-15T14:22:25:237
16,000000	2021-05-15T14:22:26:237
20,000000	2021-05-15T14:22:27:238
16,000000	2021-05-15T14:22:28:240
28,000000	2021-05-15T14:22:29:240
12,000000	2021-05-15T14:22:30:241
24,000000	2021-05-15T14:22:31:242
16,000000	2021-05-15T14:22:32:244
24,000000	2021-05-15T14:22:33:245
16,000000	2021-05-15T14:22:34:245
24,000000	2021-05-15T14:22:35:246
16,000000	2021-05-15T14:22:36:247
24,000000	2021-05-15T14:22:37:248
16,000000	2021-05-15T14:22:38:249
20,000000	2021-05-15T14:22:39:250
20,000000	2021-05-15T14:22:40:251
24,000000	2021-05-15T14:22:41:252
20,000000	2021-05-15T14:22:42:253
20,000000	2021-05-15T14:22:43:254
20,000000	2021-05-15T14:22:44:255
20,000000	2021-05-15T14:22:45:256
24,000000	2021-05-15T14:22:46:257
20,000000	2021-05-15T14:22:47:257
24,000000	2021-05-15T14:22:48:259
20,000000	2021-05-15T14:22:49:260
28,000000	2021-05-15T14:22:50:261
20,000000	2021-05-15T14:22:51:262
20,000000	2021-05-15T14:22:52:264
20,000000	2021-05-15T14:22:53:264
20,000000	2021-05-15T14:22:54:265
20,000000	2021-05-15T14:22:55:265
20,000000	2021-05-15T14:22:56:267
20,000000	2021-05-15T14:22:57:268
20,000000	2021-05-15T14:22:58:269
24,000000	2021-05-15T14:22:59:270
16,000000	2021-05-15T14:23:00:271
24,000000	2021-05-15T14:23:01:272
16,000000	2021-05-15T14:23:02:273
24,000000	2021-05-15T14:23:03:274
16,000000	2021-05-15T14:23:04:275
24,000000	2021-05-15T14:23:05:276
16,000000	2021-05-15T14:23:06:277
28,000000	2021-05-15T14:23:07:278
16,000000	2021-05-15T14:23:08:278
24,000000	2021-05-15T14:23:09:280
16,000000	2021-05-15T14:23:10:282
28,000000	2021-05-15T14:23:11:280
16,000000	2021-05-15T14:23:12:282
28,000000	2021-05-15T14:23:13:285
16,000000	2021-05-15T14:23:14:283
28,000000	2021-05-15T14:23:15:286
16,000000	2021-05-15T14:23:16:286
28,000000	2021-05-15T14:23:17:287
16,000000	2021-05-15T14:23:18:287
28,000000	2021-05-15T14:23:19:289
16,000000	2021-05-15T14:23:20:290
32,000000	2021-05-15T14:23:21:291
16,000000	2021-05-15T14:23:22:293
28,000000	2021-05-15T14:23:23:293
20,000000	2021-05-15T14:23:24:294
24,000000	2021-05-15T14:23:25:295
28,000000	2021-05-15T14:23:26:296
20,000000	2021-05-15T14:23:27:297
32,000000	2021-05-15T14:23:28:299
24,000000	2021-05-15T14:23:29:299
