value;timestamp
-8498;599616004489772555
-8354;599616004489772555
-7700;599616004489772555
-7223;599616004489772555
-7274;599616004489772555
-7098;599616004489772555
-6654;599616004489772555
-6464;599616004489772555
-6375;599616004489772555
-6009;599616004489772555
-5612;599616004489772555
-5499;599616004489772555
-5312;599616004489772555
-4867;599616004489772555
-4583;599616004489772555
-4472;599616004489772555
-4215;599616004489772555
-4011;599616004489772555
-4172;599616004489772555
-4246;599616004489772555
-3523;599616004489772555
-2537;599616004489772555
-2294;599616004489772555
-2734;599616004489772555
-3258;599616004489772555
-3409;599616004489772555
-3174;599616004489772555
-2861;599616004489772555
-2775;599616004489772555
-2633;599616004489772555
-2363;599616004489772555
-2347;599616004489772555
-2039;599616004489772555
-1409;599616004489772555
-1171;599616004489772555
-981;599616004489772555
-387;599616004489772555
336;599616004489772555
-456;599616004489772555
-4323;599616004489772555
-7676;599616004489772555
-8166;599616004489772555
-9313;599616004489772555
-10706;599616004489772555
-8678;599616004489772555
7118;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616004489772555
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
-10422;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19507;599616005050973144
-12841;599616005050973144
-12682;599616005050973144
-11211;599616005050973144
-8428;599616005050973144
-7656;599616005050973144
-5961;599616005050973144
-3104;599616005050973144
-4737;599616005050973144
-16095;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-19700;599616005050973144
-9013;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005050973144
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
16992;599616005612229682
10766;599616005612229682
7589;599616005612229682
9902;599616005612229682
15621;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
14536;599616005612229682
-11461;599616005612229682
-19334;599616005612229682
-13716;599616005612229682
-15934;599616005612229682
-13510;599616005612229682
-800;599616005612229682
7101;599616005612229682
9376;599616005612229682
14431;599616005612229682
10852;599616005612229682
-18983;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
-19700;599616005612229682
1029;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616005612229682
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
5576;599616006173465872
-15691;599616006173465872
-10381;599616006173465872
-711;599616006173465872
-1447;599616006173465872
4407;599616006173465872
12848;599616006173465872
15258;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
19697;599616006173465872
