light_intensity	ts
3083111,000000	2021-05-18T22:22:43:37
3091346,000000	2021-05-18T22:22:43:76
3100609,000000	2021-05-18T22:22:43:117
3106622,000000	2021-05-18T22:22:43:167
3109759,000000	2021-05-18T22:22:43:198
3111683,000000	2021-05-18T22:22:43:235
3112829,000000	2021-05-18T22:22:43:278
3116729,000000	2021-05-18T22:22:43:317
3123919,000000	2021-05-18T22:22:43:357
3130686,000000	2021-05-18T22:22:43:397
3138456,000000	2021-05-18T22:22:43:437
3145727,000000	2021-05-18T22:22:43:477
3149798,000000	2021-05-18T22:22:43:518
3156148,000000	2021-05-18T22:22:43:557
3159981,000000	2021-05-18T22:22:43:599
3165350,000000	2021-05-18T22:22:43:637
3171074,000000	2021-05-18T22:22:43:679
3178247,000000	2021-05-18T22:22:43:718
3185090,000000	2021-05-18T22:22:43:759
3191944,000000	2021-05-18T22:22:43:797
3198602,000000	2021-05-18T22:22:43:839
3206176,000000	2021-05-18T22:22:43:877
3213309,000000	2021-05-18T22:22:43:919
3215545,000000	2021-05-18T22:22:43:957
3220295,000000	2021-05-18T22:22:43:999
3221225,000000	2021-05-18T22:22:44:37
3225193,000000	2021-05-18T22:22:44:79
3231670,000000	2021-05-18T22:22:44:117
3235567,000000	2021-05-18T22:22:44:159
3241693,000000	2021-05-18T22:22:44:197
3249088,000000	2021-05-18T22:22:44:239
3253667,000000	2021-05-18T22:22:44:277
3257069,000000	2021-05-18T22:22:44:318
3261420,000000	2021-05-18T22:22:44:357
3267904,000000	2021-05-18T22:22:44:400
3270945,000000	2021-05-18T22:22:44:437
3274340,000000	2021-05-18T22:22:44:482
3279975,000000	2021-05-18T22:22:44:516
3284020,000000	2021-05-18T22:22:44:559
3287024,000000	2021-05-18T22:22:44:597
3292758,000000	2021-05-18T22:22:44:639
3302131,000000	2021-05-18T22:22:44:677
3307144,000000	2021-05-18T22:22:44:719
3309573,000000	2021-05-18T22:22:44:758
3311319,000000	2021-05-18T22:22:44:799
3312689,000000	2021-05-18T22:22:44:837
3313368,000000	2021-05-18T22:22:44:880
3315244,000000	2021-05-18T22:22:44:918
3318386,000000	2021-05-18T22:22:44:960
3323878,000000	2021-05-18T22:22:44:998
3328066,000000	2021-05-18T22:22:45:40
3332664,000000	2021-05-18T22:22:45:78
3337952,000000	2021-05-18T22:22:45:120
3342481,000000	2021-05-18T22:22:45:158
3345907,000000	2021-05-18T22:22:45:201
3350182,000000	2021-05-18T22:22:45:238
3355639,000000	2021-05-18T22:22:45:280
3360587,000000	2021-05-18T22:22:45:318
3365072,000000	2021-05-18T22:22:45:360
3368008,000000	2021-05-18T22:22:45:398
3372468,000000	2021-05-18T22:22:45:440
3376536,000000	2021-05-18T22:22:45:489
3378335,000000	2021-05-18T22:22:45:520
3378852,000000	2021-05-18T22:22:45:559
3379664,000000	2021-05-18T22:22:45:600
3382589,000000	2021-05-18T22:22:45:638
3387630,000000	2021-05-18T22:22:45:680
3390216,000000	2021-05-18T22:22:45:719
3394822,000000	2021-05-18T22:22:45:760
3399795,000000	2021-05-18T22:22:45:799
3405566,000000	2021-05-18T22:22:45:840
3408770,000000	2021-05-18T22:22:45:879
3413711,000000	2021-05-18T22:22:45:921
3420939,000000	2021-05-18T22:22:45:959
3423495,000000	2021-05-18T22:22:46:1
3428621,000000	2021-05-18T22:22:46:39
3433419,000000	2021-05-18T22:22:46:79
3437526,000000	2021-05-18T22:22:46:118
3447016,000000	2021-05-18T22:22:46:161
3448606,000000	2021-05-18T22:22:46:199
3452989,000000	2021-05-18T22:22:46:241
3454983,000000	2021-05-18T22:22:46:279
3457246,000000	2021-05-18T22:22:46:321
3460218,000000	2021-05-18T22:22:46:360
3462506,000000	2021-05-18T22:22:46:401
3468036,000000	2021-05-18T22:22:46:440
3470984,000000	2021-05-18T22:22:46:480
3473043,000000	2021-05-18T22:22:46:520
3473973,000000	2021-05-18T22:22:46:562
3482467,000000	2021-05-18T22:22:46:600
3484532,000000	2021-05-18T22:22:46:644
3485702,000000	2021-05-18T22:22:46:680
3489506,000000	2021-05-18T22:22:46:721
3492019,000000	2021-05-18T22:22:46:760
3495839,000000	2021-05-18T22:22:46:802
3498892,000000	2021-05-18T22:22:46:840
3501186,000000	2021-05-18T22:22:46:881
3504488,000000	2021-05-18T22:22:46:920
3509424,000000	2021-05-18T22:22:46:961
3508911,000000	2021-05-18T22:22:47:0
3508322,000000	2021-05-18T22:22:47:41
3505440,000000	2021-05-18T22:22:47:80
3507067,000000	2021-05-18T22:22:47:121
3506124,000000	2021-05-18T22:22:47:171
3510707,000000	2021-05-18T22:22:47:201
3510867,000000	2021-05-18T22:22:47:240
3513510,000000	2021-05-18T22:22:47:281
3514770,000000	2021-05-18T22:22:47:320
3520371,000000	2021-05-18T22:22:47:361
3518792,000000	2021-05-18T22:22:47:401
3522723,000000	2021-05-18T22:22:47:441
3524750,000000	2021-05-18T22:22:47:481
3525896,000000	2021-05-18T22:22:47:522
3528964,000000	2021-05-18T22:22:47:561
3531400,000000	2021-05-18T22:22:47:601
3531924,000000	2021-05-18T22:22:47:641
3532601,000000	2021-05-18T22:22:47:682
3536677,000000	2021-05-18T22:22:47:721
3536748,000000	2021-05-18T22:22:47:763
3531849,000000	2021-05-18T22:22:47:801
3530706,000000	2021-05-18T22:22:47:842
3527812,000000	2021-05-18T22:22:47:881
3527318,000000	2021-05-18T22:22:47:922
3528474,000000	2021-05-18T22:22:47:961
3528811,000000	2021-05-18T22:22:48:3
3527259,000000	2021-05-18T22:22:48:41
3527068,000000	2021-05-18T22:22:48:81
3532169,000000	2021-05-18T22:22:48:121
3529992,000000	2021-05-18T22:22:48:164
3531684,000000	2021-05-18T22:22:48:201
3534488,000000	2021-05-18T22:22:48:242
3536554,000000	2021-05-18T22:22:48:281
3540025,000000	2021-05-18T22:22:48:322
3542969,000000	2021-05-18T22:22:48:361
3547349,000000	2021-05-18T22:22:48:402
3549667,000000	2021-05-18T22:22:48:441
3550062,000000	2021-05-18T22:22:48:482
3549435,000000	2021-05-18T22:22:48:521
3545390,000000	2021-05-18T22:22:48:563
3546796,000000	2021-05-18T22:22:48:601
3543924,000000	2021-05-18T22:22:48:642
3542458,000000	2021-05-18T22:22:48:681
3543285,000000	2021-05-18T22:22:48:725
3544079,000000	2021-05-18T22:22:48:760
3542907,000000	2021-05-18T22:22:48:803
3540126,000000	2021-05-18T22:22:48:841
3538421,000000	2021-05-18T22:22:48:883
3538219,000000	2021-05-18T22:22:48:922
3536397,000000	2021-05-18T22:22:48:963
3535008,000000	2021-05-18T22:22:49:2
3534559,000000	2021-05-18T22:22:49:43
3533162,000000	2021-05-18T22:22:49:82
3529456,000000	2021-05-18T22:22:49:123
3523098,000000	2021-05-18T22:22:49:162
3514391,000000	2021-05-18T22:22:49:204
3504000,000000	2021-05-18T22:22:49:241
3495607,000000	2021-05-18T22:22:49:284
3490300,000000	2021-05-18T22:22:49:321
3484679,000000	2021-05-18T22:22:49:364
3483044,000000	2021-05-18T22:22:49:402
3476341,000000	2021-05-18T22:22:49:444
3472512,000000	2021-05-18T22:22:49:482
3466976,000000	2021-05-18T22:22:49:524
3464978,000000	2021-05-18T22:22:49:563
3464694,000000	2021-05-18T22:22:49:604
3460381,000000	2021-05-18T22:22:49:642
