light_intensity	ts
2103879,000000	2021-05-15T14:11:38:65
2103688,000000	2021-05-15T14:11:38:104
2103722,000000	2021-05-15T14:11:38:145
2103857,000000	2021-05-15T14:11:38:185
2103657,000000	2021-05-15T14:11:38:226
2103661,000000	2021-05-15T14:11:38:264
2103717,000000	2021-05-15T14:11:38:305
2103908,000000	2021-05-15T14:11:38:346
2103668,000000	2021-05-15T14:11:38:385
2103713,000000	2021-05-15T14:11:38:426
2103653,000000	2021-05-15T14:11:38:466
2103876,000000	2021-05-15T14:11:38:506
2103711,000000	2021-05-15T14:11:38:546
2103828,000000	2021-05-15T14:11:38:587
2103714,000000	2021-05-15T14:11:38:626
2103696,000000	2021-05-15T14:11:38:665
2103898,000000	2021-05-15T14:11:38:707
2103696,000000	2021-05-15T14:11:38:747
2103823,000000	2021-05-15T14:11:38:786
2103640,000000	2021-05-15T14:11:38:827
2103716,000000	2021-05-15T14:11:38:866
2103601,000000	2021-05-15T14:11:38:908
2103675,000000	2021-05-15T14:11:38:947
2103772,000000	2021-05-15T14:11:38:989
2103814,000000	2021-05-15T14:11:39:26
2103781,000000	2021-05-15T14:11:39:67
2103641,000000	2021-05-15T14:11:39:109
2103667,000000	2021-05-15T14:11:39:147
2103856,000000	2021-05-15T14:11:39:187
2103659,000000	2021-05-15T14:11:39:227
2103688,000000	2021-05-15T14:11:39:267
2103721,000000	2021-05-15T14:11:39:306
2103665,000000	2021-05-15T14:11:39:347
2103673,000000	2021-05-15T14:11:39:387
2103660,000000	2021-05-15T14:11:39:428
2103696,000000	2021-05-15T14:11:39:467
2103654,000000	2021-05-15T14:11:39:508
2103689,000000	2021-05-15T14:11:39:548
2103569,000000	2021-05-15T14:11:39:587
2103707,000000	2021-05-15T14:11:39:628
2103872,000000	2021-05-15T14:11:39:668
2103679,000000	2021-05-15T14:11:39:707
2103727,000000	2021-05-15T14:11:39:748
2103661,000000	2021-05-15T14:11:39:788
2103683,000000	2021-05-15T14:11:39:827
2103587,000000	2021-05-15T14:11:39:868
2103567,000000	2021-05-15T14:11:39:908
2103619,000000	2021-05-15T14:11:39:948
2103606,000000	2021-05-15T14:11:39:990
2103652,000000	2021-05-15T14:11:40:28
2103849,000000	2021-05-15T14:11:40:67
2103699,000000	2021-05-15T14:11:40:108
2103848,000000	2021-05-15T14:11:40:148
2103817,000000	2021-05-15T14:11:40:188
2103673,000000	2021-05-15T14:11:40:228
2103745,000000	2021-05-15T14:11:40:268
2103722,000000	2021-05-15T14:11:40:308
2103762,000000	2021-05-15T14:11:40:349
2103664,000000	2021-05-15T14:11:40:388
2103652,000000	2021-05-15T14:11:40:428
2103648,000000	2021-05-15T14:11:40:467
