light_intensity	ts
1451710,000000	2021-05-15T14:21:31:970
1453586,000000	2021-05-15T14:21:32:6
1455279,000000	2021-05-15T14:21:32:59
1456850,000000	2021-05-15T14:21:32:87
1459022,000000	2021-05-15T14:21:32:126
1462384,000000	2021-05-15T14:21:32:166
1463402,000000	2021-05-15T14:21:32:207
1461110,000000	2021-05-15T14:21:32:246
1456551,000000	2021-05-15T14:21:32:287
1457522,000000	2021-05-15T14:21:32:327
1465277,000000	2021-05-15T14:21:32:367
1473193,000000	2021-05-15T14:21:32:407
1474963,000000	2021-05-15T14:21:32:448
1472851,000000	2021-05-15T14:21:32:487
1469436,000000	2021-05-15T14:21:32:528
1467222,000000	2021-05-15T14:21:32:568
1467456,000000	2021-05-15T14:21:32:607
1470946,000000	2021-05-15T14:21:32:647
1475370,000000	2021-05-15T14:21:32:688
1476505,000000	2021-05-15T14:21:32:727
1474052,000000	2021-05-15T14:21:32:768
1472309,000000	2021-05-15T14:21:32:807
1473565,000000	2021-05-15T14:21:32:847
1474307,000000	2021-05-15T14:21:32:887
1476380,000000	2021-05-15T14:21:32:928
1479145,000000	2021-05-15T14:21:32:968
1479981,000000	2021-05-15T14:21:33:8
1479289,000000	2021-05-15T14:21:33:46
1478629,000000	2021-05-15T14:21:33:88
1479709,000000	2021-05-15T14:21:33:127
1478131,000000	2021-05-15T14:21:33:168
1473118,000000	2021-05-15T14:21:33:208
1467889,000000	2021-05-15T14:21:33:248
1465031,000000	2021-05-15T14:21:33:288
1464818,000000	2021-05-15T14:21:33:328
1464709,000000	2021-05-15T14:21:33:367
1463682,000000	2021-05-15T14:21:33:408
1462501,000000	2021-05-15T14:21:33:447
1461736,000000	2021-05-15T14:21:33:488
1461020,000000	2021-05-15T14:21:33:528
1460328,000000	2021-05-15T14:21:33:568
1459779,000000	2021-05-15T14:21:33:702
1458767,000000	2021-05-15T14:21:33:712
1455806,000000	2021-05-15T14:21:33:718
1456530,000000	2021-05-15T14:21:33:728
1459568,000000	2021-05-15T14:21:33:768
1459042,000000	2021-05-15T14:21:33:808
1456410,000000	2021-05-15T14:21:33:848
1456191,000000	2021-05-15T14:21:33:888
1460897,000000	2021-05-15T14:21:33:928
1470240,000000	2021-05-15T14:21:33:968
1480834,000000	2021-05-15T14:21:34:9
1483904,000000	2021-05-15T14:21:34:48
1483358,000000	2021-05-15T14:21:34:88
1483113,000000	2021-05-15T14:21:34:127
1482764,000000	2021-05-15T14:21:34:168
1479250,000000	2021-05-15T14:21:34:209
1475360,000000	2021-05-15T14:21:34:248
1472696,000000	2021-05-15T14:21:34:289
1473228,000000	2021-05-15T14:21:34:328
1474107,000000	2021-05-15T14:21:34:369
1474751,000000	2021-05-15T14:21:34:409
1475793,000000	2021-05-15T14:21:34:449
1476520,000000	2021-05-15T14:21:34:489
1477481,000000	2021-05-15T14:21:34:529
1478466,000000	2021-05-15T14:21:34:568
1479337,000000	2021-05-15T14:21:34:609
1482465,000000	2021-05-15T14:21:34:648
1487010,000000	2021-05-15T14:21:34:690
1490751,000000	2021-05-15T14:21:34:729
1492527,000000	2021-05-15T14:21:34:769
1491126,000000	2021-05-15T14:21:34:809
1490459,000000	2021-05-15T14:21:34:849
1491154,000000	2021-05-15T14:21:34:889
1490934,000000	2021-05-15T14:21:34:929
1488176,000000	2021-05-15T14:21:34:969
1486970,000000	2021-05-15T14:21:35:9
1482917,000000	2021-05-15T14:21:35:49
1479831,000000	2021-05-15T14:21:35:90
1477400,000000	2021-05-15T14:21:35:129
1474608,000000	2021-05-15T14:21:35:169
1473510,000000	2021-05-15T14:21:35:209
1473650,000000	2021-05-15T14:21:35:249
1472972,000000	2021-05-15T14:21:35:289
1473002,000000	2021-05-15T14:21:35:330
1473227,000000	2021-05-15T14:21:35:369
1472839,000000	2021-05-15T14:21:35:410
1472848,000000	2021-05-15T14:21:35:449
1471961,000000	2021-05-15T14:21:35:490
1468294,000000	2021-05-15T14:21:35:529
1466413,000000	2021-05-15T14:21:35:570
1466848,000000	2021-05-15T14:21:35:609
1467048,000000	2021-05-15T14:21:35:650
1469429,000000	2021-05-15T14:21:35:690
1469388,000000	2021-05-15T14:21:35:730
1467996,000000	2021-05-15T14:21:35:769
1465020,000000	2021-05-15T14:21:35:812
1463781,000000	2021-05-15T14:21:35:850
1467529,000000	2021-05-15T14:21:35:891
1473018,000000	2021-05-15T14:21:35:930
1474773,000000	2021-05-15T14:21:35:970
1474426,000000	2021-05-15T14:21:36:10
1473839,000000	2021-05-15T14:21:36:50
1473403,000000	2021-05-15T14:21:36:90
1471477,000000	2021-05-15T14:21:36:130
1470747,000000	2021-05-15T14:21:36:170
1469610,000000	2021-05-15T14:21:36:210
1470507,000000	2021-05-15T14:21:36:250
1472711,000000	2021-05-15T14:21:36:291
1475741,000000	2021-05-15T14:21:36:330
1478189,000000	2021-05-15T14:21:36:370
1477436,000000	2021-05-15T14:21:36:410
1473754,000000	2021-05-15T14:21:36:450
1471053,000000	2021-05-15T14:21:36:491
1470407,000000	2021-05-15T14:21:36:531
1472597,000000	2021-05-15T14:21:36:571
1475719,000000	2021-05-15T14:21:36:611
1479004,000000	2021-05-15T14:21:36:651
1481670,000000	2021-05-15T14:21:36:692
1481261,000000	2021-05-15T14:21:36:731
1477976,000000	2021-05-15T14:21:36:772
1475588,000000	2021-05-15T14:21:36:810
1473359,000000	2021-05-15T14:21:36:851
1467997,000000	2021-05-15T14:21:36:891
1464606,000000	2021-05-15T14:21:36:932
1463782,000000	2021-05-15T14:21:36:972
1465998,000000	2021-05-15T14:21:37:12
1468643,000000	2021-05-15T14:21:37:52
1469428,000000	2021-05-15T14:21:37:92
1467449,000000	2021-05-15T14:21:37:130
1464391,000000	2021-05-15T14:21:37:172
1461538,000000	2021-05-15T14:21:37:211
1458355,000000	2021-05-15T14:21:37:252
1455981,000000	2021-05-15T14:21:37:291
1453178,000000	2021-05-15T14:21:37:332
1450766,000000	2021-05-15T14:21:37:371
1448734,000000	2021-05-15T14:21:37:412
1448994,000000	2021-05-15T14:21:37:451
1449165,000000	2021-05-15T14:21:37:506
