light_level	ts
52,000000	2021-05-15T14:31:32:772
52,000000	2021-05-15T14:31:33:772
52,000000	2021-05-15T14:31:34:773
52,000000	2021-05-15T14:31:35:774
52,000000	2021-05-15T14:31:36:775
52,000000	2021-05-15T14:31:37:777
52,000000	2021-05-15T14:31:38:777
52,000000	2021-05-15T14:31:39:778
52,000000	2021-05-15T14:31:40:780
52,000000	2021-05-15T14:31:41:780
52,000000	2021-05-15T14:31:42:781
52,000000	2021-05-15T14:31:43:782
48,000000	2021-05-15T14:31:44:783
20,000000	2021-05-15T14:31:45:814
20,000000	2021-05-15T14:31:46:785
20,000000	2021-05-15T14:31:47:789
20,000000	2021-05-15T14:31:48:792
32,000000	2021-05-15T14:31:49:791
32,000000	2021-05-15T14:31:51:372
32,000000	2021-05-15T14:31:51:789
32,000000	2021-05-15T14:31:52:790
32,000000	2021-05-15T14:31:53:791
32,000000	2021-05-15T14:31:54:793
8,000000	2021-05-15T14:31:55:794
8,000000	2021-05-15T14:31:56:792
16,000000	2021-05-15T14:31:57:795
8,000000	2021-05-15T14:31:58:794
