light_level	ts
0,000000	2021-05-18T22:17:37:596
0,000000	2021-05-18T22:17:38:597
0,000000	2021-05-18T22:17:39:598
0,000000	2021-05-18T22:17:40:598
0,000000	2021-05-18T22:17:41:599
0,000000	2021-05-18T22:17:42:601
0,000000	2021-05-18T22:17:43:601
0,000000	2021-05-18T22:17:44:602
0,000000	2021-05-18T22:17:45:604
0,000000	2021-05-18T22:17:46:605
0,000000	2021-05-18T22:17:47:605
0,000000	2021-05-18T22:17:48:606
0,000000	2021-05-18T22:17:49:608
0,000000	2021-05-18T22:17:50:608
0,000000	2021-05-18T22:17:51:610
0,000000	2021-05-18T22:17:52:610
0,000000	2021-05-18T22:17:53:609
0,000000	2021-05-18T22:17:54:612
0,000000	2021-05-18T22:17:55:613
0,000000	2021-05-18T22:17:56:614
0,000000	2021-05-18T22:17:57:615
0,000000	2021-05-18T22:17:58:616
0,000000	2021-05-18T22:17:59:618
0,000000	2021-05-18T22:18:00:618
0,000000	2021-05-18T22:18:01:619
0,000000	2021-05-18T22:18:02:620
0,000000	2021-05-18T22:18:03:621
0,000000	2021-05-18T22:18:04:622
0,000000	2021-05-18T22:18:05:622
0,000000	2021-05-18T22:18:06:624
0,000000	2021-05-18T22:18:07:625
0,000000	2021-05-18T22:18:08:626
0,000000	2021-05-18T22:18:09:627
0,000000	2021-05-18T22:18:10:628
0,000000	2021-05-18T22:18:11:629
0,000000	2021-05-18T22:18:12:630
0,000000	2021-05-18T22:18:13:630
0,000000	2021-05-18T22:18:14:632
0,000000	2021-05-18T22:18:15:633
0,000000	2021-05-18T22:18:16:633
0,000000	2021-05-18T22:18:17:634
0,000000	2021-05-18T22:18:18:636
0,000000	2021-05-18T22:18:19:636
0,000000	2021-05-18T22:18:20:637
0,000000	2021-05-18T22:18:21:638
0,000000	2021-05-18T22:18:22:639
0,000000	2021-05-18T22:18:23:640
0,000000	2021-05-18T22:18:24:641
0,000000	2021-05-18T22:18:25:642
0,000000	2021-05-18T22:18:26:644
0,000000	2021-05-18T22:18:27:644
0,000000	2021-05-18T22:18:28:645
0,000000	2021-05-18T22:18:29:646
0,000000	2021-05-18T22:18:30:647
0,000000	2021-05-18T22:18:31:648
0,000000	2021-05-18T22:18:32:649
0,000000	2021-05-18T22:18:33:650
0,000000	2021-05-18T22:18:34:651
0,000000	2021-05-18T22:18:35:652
0,000000	2021-05-18T22:18:36:653
0,000000	2021-05-18T22:18:37:654
0,000000	2021-05-18T22:18:38:657
0,000000	2021-05-18T22:18:39:657
0,000000	2021-05-18T22:18:40:657
0,000000	2021-05-18T22:18:41:667
0,000000	2021-05-18T22:18:42:659
0,000000	2021-05-18T22:18:43:660
0,000000	2021-05-18T22:18:44:660
0,000000	2021-05-18T22:18:45:662
0,000000	2021-05-18T22:18:46:663
0,000000	2021-05-18T22:18:47:664
0,000000	2021-05-18T22:18:48:665
0,000000	2021-05-18T22:18:49:666
0,000000	2021-05-18T22:18:50:666
0,000000	2021-05-18T22:18:51:668
0,000000	2021-05-18T22:18:52:669
0,000000	2021-05-18T22:18:53:671
0,000000	2021-05-18T22:18:54:670
0,000000	2021-05-18T22:18:55:672
0,000000	2021-05-18T22:18:56:672
0,000000	2021-05-18T22:18:57:674
0,000000	2021-05-18T22:18:58:674
0,000000	2021-05-18T22:18:59:675
0,000000	2021-05-18T22:19:00:677
0,000000	2021-05-18T22:19:01:677
0,000000	2021-05-18T22:19:02:678
0,000000	2021-05-18T22:19:03:680
0,000000	2021-05-18T22:19:04:680
0,000000	2021-05-18T22:19:05:681
0,000000	2021-05-18T22:19:06:682
0,000000	2021-05-18T22:19:07:683
0,000000	2021-05-18T22:19:08:684
0,000000	2021-05-18T22:19:09:686
0,000000	2021-05-18T22:19:10:686
0,000000	2021-05-18T22:19:11:688
0,000000	2021-05-18T22:19:12:689
0,000000	2021-05-18T22:19:13:689
0,000000	2021-05-18T22:19:14:690
0,000000	2021-05-18T22:19:15:691
0,000000	2021-05-18T22:19:16:692
0,000000	2021-05-18T22:19:17:693
0,000000	2021-05-18T22:19:18:694
0,000000	2021-05-18T22:19:19:695
0,000000	2021-05-18T22:19:20:695
0,000000	2021-05-18T22:19:21:697
