v1	v2	v3	v4	ts
986,911804	221,620728	26,279999	986,920898	2021-05-18T22:17:37:596
986,911621	221,623367	26,269999	986,910400	2021-05-18T22:17:38:597
986,910889	221,628647	26,279999	986,904297	2021-05-18T22:17:39:599
986,913391	221,607513	26,289999	986,935791	2021-05-18T22:17:40:598
986,914307	221,602234	26,289999	986,922119	2021-05-18T22:17:41:599
986,914551	221,599579	26,289999	986,916748	2021-05-18T22:17:42:601
986,914612	221,599579	26,289999	986,915039	2021-05-18T22:17:43:602
986,911499	221,623367	26,289999	986,883301	2021-05-18T22:17:44:603
986,910217	221,636581	26,299999	986,898682	2021-05-18T22:17:45:604
986,910889	221,628647	26,299999	986,916748	2021-05-18T22:17:46:605
986,911682	221,623367	26,299999	986,918457	2021-05-18T22:17:47:606
986,910156	221,636581	26,309999	986,895996	2021-05-18T22:17:48:607
986,911255	221,626007	26,309999	986,921143	2021-05-18T22:17:49:608
986,910461	221,633942	26,320000	986,903320	2021-05-18T22:17:50:609
986,908264	221,652435	26,320000	986,888184	2021-05-18T22:17:51:610
986,909424	221,641861	26,309999	986,919922	2021-05-18T22:17:52:610
986,908020	221,655075	26,320000	986,895752	2021-05-18T22:17:53:610
986,905212	221,678848	26,320000	986,879395	2021-05-18T22:17:54:613
986,905884	221,673569	26,320000	986,912109	2021-05-18T22:17:55:614
986,904236	221,686783	26,330000	986,889160	2021-05-18T22:17:56:614
986,907776	221,657715	26,330000	986,939697	2021-05-18T22:17:57:616
986,911072	221,628647	26,330000	986,940674	2021-05-18T22:17:58:617
986,911133	221,628647	26,330000	986,911621	2021-05-18T22:17:59:618
986,914368	221,599579	26,340000	986,943604	2021-05-18T22:18:00:618
986,912537	221,615433	26,349998	986,895996	2021-05-18T22:18:01:619
986,912292	221,618088	26,349998	986,909912	2021-05-18T22:18:02:621
986,911743	221,623367	26,349998	986,906494	2021-05-18T22:18:03:631
986,913391	221,607513	26,349998	986,928711	2021-05-18T22:18:04:622
986,913330	221,610153	26,359999	986,912842	2021-05-18T22:18:05:623
986,913025	221,612793	26,349998	986,909912	2021-05-18T22:18:06:624
986,914551	221,599579	26,359999	986,928223	2021-05-18T22:18:07:625
986,920227	221,549377	26,359999	986,971436	2021-05-18T22:18:08:627
986,916931	221,578445	26,359999	986,886963	2021-05-18T22:18:09:627
986,914978	221,594299	26,359999	986,897461	2021-05-18T22:18:10:628
986,912903	221,612793	26,359999	986,894287	2021-05-18T22:18:11:629
986,910217	221,636581	26,369999	986,885742	2021-05-18T22:18:12:630
986,907898	221,655075	26,369999	986,886719	2021-05-18T22:18:13:630
986,908997	221,647141	26,379999	986,918945	2021-05-18T22:18:14:632
986,908569	221,649796	26,379999	986,904541	2021-05-18T22:18:15:633
986,906311	221,668289	26,389999	986,885986	2021-05-18T22:18:16:634
986,906128	221,670929	26,379999	986,904785	2021-05-18T22:18:17:635
986,905823	221,673569	26,389999	986,902832	2021-05-18T22:18:18:637
986,907410	221,660355	26,389999	986,921631	2021-05-18T22:18:19:637
986,907166	221,660355	26,400000	986,904541	2021-05-18T22:18:20:638
986,904480	221,684143	26,400000	986,880371	2021-05-18T22:18:21:638
986,903564	221,692062	26,400000	986,895752	2021-05-18T22:18:22:640
986,901184	221,713196	26,400000	986,879883	2021-05-18T22:18:23:642
986,900513	221,718491	26,410000	986,894287	2021-05-18T22:18:24:642
986,898865	221,731705	26,400000	986,884033	2021-05-18T22:18:25:642
986,899841	221,723770	26,400000	986,908203	2021-05-18T22:18:26:644
986,899719	221,723770	26,400000	986,898682	2021-05-18T22:18:27:655
986,898682	221,734344	26,410000	986,889404	2021-05-18T22:18:28:655
986,900818	221,715851	26,410000	986,919922	2021-05-18T22:18:29:654
986,902527	221,699997	26,420000	986,918213	2021-05-18T22:18:30:648
986,904236	221,686783	26,420000	986,919434	2021-05-18T22:18:31:649
986,906677	221,665649	26,420000	986,928467	2021-05-18T22:18:32:650
986,906555	221,665649	26,420000	986,905518	2021-05-18T22:18:33:651
986,906128	221,670929	26,430000	986,902344	2021-05-18T22:18:34:652
986,907471	221,657715	26,430000	986,919434	2021-05-18T22:18:35:653
986,906677	221,665649	26,430000	986,899902	2021-05-18T22:18:36:654
986,906311	221,668289	26,430000	986,902588	2021-05-18T22:18:37:655
986,905701	221,673569	26,430000	986,900146	2021-05-18T22:18:38:658
986,908264	221,652435	26,430000	986,931641	2021-05-18T22:18:39:657
986,905701	221,673569	26,430000	986,882568	2021-05-18T22:18:40:657
986,904236	221,686783	26,439999	986,891357	2021-05-18T22:18:41:669
986,905457	221,676208	26,439999	986,916260	2021-05-18T22:18:42:660
986,904175	221,686783	26,439999	986,892578	2021-05-18T22:18:43:661
986,904541	221,684143	26,449999	986,907471	2021-05-18T22:18:44:661
986,906555	221,665649	26,449999	986,925049	2021-05-18T22:18:45:663
986,906921	221,662994	26,439999	986,909912	2021-05-18T22:18:46:663
986,910095	221,636581	26,449999	986,938965	2021-05-18T22:18:47:665
986,907593	221,657715	26,449999	986,885254	2021-05-18T22:18:48:665
986,906006	221,670929	26,459999	986,891602	2021-05-18T22:18:49:666
986,901611	221,707916	26,449999	986,862061	2021-05-18T22:18:50:667
986,902283	221,702637	26,449999	986,908447	2021-05-18T22:18:51:668
986,901978	221,705276	26,459999	986,898926	2021-05-18T22:18:52:669
986,904602	221,684143	26,459999	986,928467	2021-05-18T22:18:53:672
986,904663	221,681503	26,459999	986,905273	2021-05-18T22:18:54:671
986,906799	221,665649	26,459999	986,926025	2021-05-18T22:18:55:672
986,908691	221,649796	26,459999	986,925537	2021-05-18T22:18:56:673
986,905396	221,676208	26,459999	986,875732	2021-05-18T22:18:57:683
986,903320	221,694702	26,459999	986,884766	2021-05-18T22:18:58:675
986,901306	221,710556	26,469999	986,883545	2021-05-18T22:18:59:676
986,903320	221,694702	26,469999	986,920898	2021-05-18T22:19:00:677
986,903320	221,694702	26,469999	986,903564	2021-05-18T22:19:01:678
986,904480	221,684143	26,469999	986,914795	2021-05-18T22:19:02:678
986,905273	221,676208	26,469999	986,912354	2021-05-18T22:19:03:680
986,905212	221,678848	26,480000	986,904785	2021-05-18T22:19:04:681
986,904358	221,686783	26,480000	986,896484	2021-05-18T22:19:05:682
986,904724	221,681503	26,480000	986,907471	2021-05-18T22:19:06:683
986,903931	221,689423	26,480000	986,896484	2021-05-18T22:19:07:683
986,902466	221,702637	26,480000	986,889160	2021-05-18T22:19:08:685
986,901611	221,707916	26,490000	986,893555	2021-05-18T22:19:09:686
986,899658	221,726410	26,490000	986,881836	2021-05-18T22:19:10:687
986,900879	221,715851	26,490000	986,912109	2021-05-18T22:19:11:688
986,902710	221,699997	26,490000	986,919189	2021-05-18T22:19:12:689
986,904541	221,684143	26,490000	986,920898	2021-05-18T22:19:13:690
986,907288	221,660355	26,490000	986,931885	2021-05-18T22:19:14:691
986,905884	221,673569	26,500000	986,893066	2021-05-18T22:19:15:694
986,905457	221,676208	26,500000	986,901611	2021-05-18T22:19:16:693
986,904053	221,689423	26,500000	986,891113	2021-05-18T22:19:17:694
986,903198	221,694702	26,500000	986,895264	2021-05-18T22:19:18:695
986,903870	221,689423	26,500000	986,910400	2021-05-18T22:19:19:696
986,907166	221,660355	26,500000	986,937256	2021-05-18T22:19:20:696
986,908325	221,652435	26,500000	986,918945	2021-05-18T22:19:21:698
986,906799	221,665649	26,500000	986,892822	2021-05-18T22:19:22:698
986,905518	221,676208	26,500000	986,893799	2021-05-18T22:19:23:698
