x,y,z
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,9
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
1,-65,7
-2,-63,8
0,-64,8
-1,-64,8
0,-65,9
0,-64,8
0,-65,9
-1,-64,8
0,-65,9
0,-65,8
0,-65,8
0,-65,8
0,-64,9
0,-65,9
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,9
0,-64,8
0,-65,9
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,9
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,9
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,9
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,9
0,-65,9
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,9
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,9
0,-65,7
1,-65,9
0,-64,7
-1,-64,8
-1,-64,8
0,-64,8
0,-64,8
-1,-64,8
0,-65,9
-1,-64,8
0,-65,9
-1,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,9
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,9
0,-65,8
0,-64,9
1,-65,8
1,-65,9
0,-65,9
0,-64,8
0,-65,8
0,-64,8
1,-65,9
0,-64,8
0,-65,8
0,-64,8
-1,-64,8
0,-64,8
0,-64,8
-1,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
-1,-64,8
0,-65,8
0,-65,9
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
