x,y,z
-0.014357,-0.01675,9.95175
0.01675,-0.002393,9.95175
0.052641999999999994,0.066999,9.927821
-0.026320999999999997,-0.031107,9.930214999999999
0.009571,0.002393,9.939785
0.071785,-0.052641999999999994,9.978069999999999
-0.038285,-0.014357,9.966106
0.009571,0.043071,9.918249000000001
0.074178,-0.088534,9.966106
0.023928,0.040678,10.028319
0.014357,0.01675,9.978069999999999
0.035892,-0.011964,9.999605
0.002393,-0.083749,9.932607
0.069392,0.014357,9.994821
0.043071,-0.050249,10.016356
0.043071,-0.050249,10.016356
0.043071,-0.050249,10.016356
0.057428,-0.021535,9.987641
0.023928,0.004786,9.946963
0.040678,0.004786,9.982857000000001
0.064606,-0.055035,9.975677000000001
0.064606,-0.057428,10.004392
0.007178,-0.01675,10.018748
0.050249,0.01675,9.954143
0.031107,-0.004786,10.040283
0.035892,0.007178,10.013963
0.09332,-0.083749,10.025927000000001
0.066999,0.035892,9.980463
-0.040678,-0.062213,9.970891
0.009571,-0.064606,9.997212
0.057428,-0.11007,9.978069999999999
0.0335,0.055035,10.013963
0.023928,-0.035892,9.942179
0.057428,-0.043071,10.018748
0.011964,-0.043071,10.025927000000001
0.059821000000000006,-0.043071,9.992428
0.064606,-0.100499,10.004392
0.019143,-0.055035,9.992428
0.069392,0.0335,9.999605
0.014357,0.0335,10.004392
0.028714,-0.045464,9.978069999999999
-0.01675,-0.002393,9.982857000000001
-0.050249,-0.002393,10.035499
0.019143,-0.038285,10.001998
0.083749,-0.028714,10.006784
0.0335,-0.038285,9.958927000000001
0.028714,-0.019143,10.009177000000001
0.066999,-0.074178,10.013963
0.004786,0.004786,10.021141
0.088534,-0.028714,9.982857000000001
0.01675,-0.045464,9.982857000000001
0.021535,-0.045464,10.009177000000001
0.043071,-0.055035,10.021141
0.007178,-0.026320999999999997,10.030712
0.01675,-0.026320999999999997,9.970891
0.040678,-0.011964,9.942179
0.038285,-0.031107,9.973285
0.038285,-0.050249,9.958927000000001
0.014357,-0.038285,9.978069999999999
0.004786,-0.014357,9.968499000000001
