v1	v2	v3	v4	ts
993,224060	168,075043	26,330000	993,228760	2021-05-15T14:16:32:892
993,226868	168,051270	26,330000	993,252441	2021-05-15T14:16:33:892
993,227539	168,045975	26,330000	993,233643	2021-05-15T14:16:34:894
993,232300	168,006348	26,340000	993,274658	2021-05-15T14:16:35:898
993,225708	168,061829	26,349998	993,166260	2021-05-15T14:16:36:897
993,223328	168,080322	26,359999	993,201416	2021-05-15T14:16:37:898
993,219116	168,117325	26,369999	993,180908	2021-05-15T14:16:38:898
993,215637	168,146378	26,379999	993,184814	2021-05-15T14:16:39:900
993,209778	168,196594	26,379999	993,157227	2021-05-15T14:16:40:901
993,206665	168,223007	26,400000	993,178711	2021-05-15T14:16:41:902
993,205994	168,228302	26,400000	993,199951	2021-05-15T14:16:42:902
993,202393	168,260010	26,400000	993,169678	2021-05-15T14:16:43:904
993,200867	168,270569	26,410000	993,186768	2021-05-15T14:16:44:905
993,198975	168,286423	26,410000	993,182129	2021-05-15T14:16:45:906
993,195801	168,315491	26,420000	993,167236	2021-05-15T14:16:46:906
993,195068	168,320770	26,420000	993,187988	2021-05-15T14:16:47:908
993,196106	168,312851	26,420000	993,205078	2021-05-15T14:16:48:909
993,198486	168,291702	26,420000	993,220215	2021-05-15T14:16:49:910
993,202576	168,257355	26,430000	993,239258	2021-05-15T14:16:50:910
993,203186	168,252075	26,430000	993,208252	2021-05-15T14:16:51:912
993,206482	168,223007	26,439999	993,235596	2021-05-15T14:16:52:913
993,209290	168,201874	26,449999	993,234863	2021-05-15T14:16:53:913
993,209839	168,196594	26,449999	993,214600	2021-05-15T14:16:54:913
993,208069	168,209793	26,459999	993,191895	2021-05-15T14:16:55:915
993,204590	168,238861	26,469999	993,172852	2021-05-15T14:16:56:916
993,206909	168,220367	26,469999	993,227783	2021-05-15T14:16:57:917
993,205261	168,233582	26,469999	993,190918	2021-05-15T14:16:58:918
993,207092	168,217728	26,469999	993,223633	2021-05-15T14:16:59:918
993,209290	168,201874	26,480000	993,229248	2021-05-15T14:17:00:920
993,210449	168,191299	26,480000	993,220459	2021-05-15T14:17:01:921
993,209534	168,199234	26,490000	993,201172	2021-05-15T14:17:02:922
993,210693	168,188660	26,490000	993,221191	2021-05-15T14:17:03:922
993,210815	168,186020	26,500000	993,212158	2021-05-15T14:17:04:924
993,213806	168,162231	26,500000	993,240967	2021-05-15T14:17:05:925
993,214783	168,154312	26,500000	993,223877	2021-05-15T14:17:06:926
993,213013	168,170166	26,500000	993,197021	2021-05-15T14:17:07:926
993,215881	168,143738	26,510000	993,241699	2021-05-15T14:17:08:928
993,213135	168,167526	26,519999	993,187988	2021-05-15T14:17:09:929
993,214294	168,156952	26,519999	993,224854	2021-05-15T14:17:10:930
993,215271	168,149033	26,529999	993,224365	2021-05-15T14:17:11:930
993,215271	168,149033	26,529999	993,215332	2021-05-15T14:17:12:932
993,215088	168,151672	26,539999	993,213379	2021-05-15T14:17:13:932
993,215576	168,146378	26,539999	993,219727	2021-05-15T14:17:14:933
993,214905	168,154312	26,539999	993,208740	2021-05-15T14:17:15:934
993,216125	168,141098	26,549999	993,227539	2021-05-15T14:17:16:935
993,216675	168,138458	26,549999	993,221680	2021-05-15T14:17:17:936
993,216309	168,141098	26,549999	993,213379	2021-05-15T14:17:18:937
993,213623	168,164886	26,559999	993,189697	2021-05-15T14:17:19:938
993,213379	168,164886	26,570000	993,211670	2021-05-15T14:17:20:939
993,214844	168,154312	26,570000	993,227783	2021-05-15T14:17:21:941
993,213257	168,167526	26,580000	993,199219	2021-05-15T14:17:22:942
993,210571	168,188660	26,580000	993,186523	2021-05-15T14:17:23:942
993,211121	168,186020	26,590000	993,216064	2021-05-15T14:17:24:944
993,211426	168,183380	26,590000	993,213867	2021-05-15T14:17:25:944
993,214111	168,159592	26,599998	993,238037	2021-05-15T14:17:26:945
993,214478	168,156952	26,609999	993,217285	2021-05-15T14:17:27:946
993,212463	168,172806	26,609999	993,194580	2021-05-15T14:17:28:947
993,209900	168,193939	26,619999	993,187256	2021-05-15T14:17:29:948
993,209473	168,199234	26,619999	993,205322	2021-05-15T14:17:30:949
993,209473	168,199234	26,629999	993,209717	2021-05-15T14:17:31:950
993,211609	168,180740	26,629999	993,231201	2021-05-15T14:17:32:958
993,210999	168,186020	26,639999	993,205566	2021-05-15T14:17:33:953
993,210876	168,186020	26,639999	993,209473	2021-05-15T14:17:34:952
993,210754	168,188660	26,639999	993,209473	2021-05-15T14:17:35:954
993,208496	168,207153	26,650000	993,188232	2021-05-15T14:17:36:965
993,211487	168,180740	26,650000	993,238281	2021-05-15T14:17:37:956
993,212097	168,175446	26,650000	993,217773	2021-05-15T14:17:38:957
993,213135	168,167526	26,670000	993,222656	2021-05-15T14:17:39:958
993,213989	168,159592	26,670000	993,221924	2021-05-15T14:17:40:958
993,215515	168,146378	26,670000	993,229248	2021-05-15T14:17:41:960
993,215454	168,149033	26,680000	993,214844	2021-05-15T14:17:42:961
993,216248	168,141098	26,680000	993,223633	2021-05-15T14:17:43:962
993,219238	168,117325	26,689999	993,246338	2021-05-15T14:17:44:962
993,216309	168,141098	26,689999	993,189941	2021-05-15T14:17:45:975
993,215027	168,151672	26,699999	993,203369	2021-05-15T14:17:46:964
993,219238	168,117325	26,709999	993,257080	2021-05-15T14:17:47:966
993,221741	168,093536	26,709999	993,244385	2021-05-15T14:17:48:966
993,222229	168,090897	26,709999	993,226562	2021-05-15T14:17:49:968
993,224182	168,075043	26,709999	993,241943	2021-05-15T14:17:50:967
993,217041	168,135818	26,719999	993,152588	2021-05-15T14:17:51:972
993,217224	168,133179	26,730000	993,218506	2021-05-15T14:17:52:977
993,217224	168,133179	26,740000	993,217041	2021-05-15T14:17:53:975
993,219360	168,114670	26,750000	993,238525	2021-05-15T14:17:54:976
993,217712	168,127884	26,769999	993,202637	2021-05-15T14:17:55:974
993,216614	168,138458	26,779999	993,206543	2021-05-15T14:17:56:975
993,208435	168,207153	26,789999	993,134521	2021-05-15T14:17:57:976
993,206055	168,228302	26,799999	993,184570	2021-05-15T14:17:58:978
993,205261	168,233582	26,809999	993,197998	2021-05-15T14:17:59:985
993,209106	168,201874	26,820000	993,243652	2021-05-15T14:18:00:987
993,211182	168,183380	26,830000	993,229736	2021-05-15T14:18:01:981
993,211548	168,180740	26,830000	993,214844	2021-05-15T14:18:02:981
993,212341	168,175446	26,840000	993,219482	2021-05-15T14:18:03:982
993,213745	168,162231	26,840000	993,226318	2021-05-15T14:18:04:983
993,211304	168,183380	26,840000	993,189453	2021-05-15T14:18:05:984
993,212646	168,172806	26,849998	993,224609	2021-05-15T14:18:06:985
993,209290	168,201874	26,840000	993,178955	2021-05-15T14:18:07:986
993,206787	168,220367	26,849998	993,183838	2021-05-15T14:18:08:987
993,203247	168,252075	26,849998	993,170898	2021-05-15T14:18:09:994
993,201172	168,267929	26,849998	993,182617	2021-05-15T14:18:10:989
993,199951	168,278503	26,859999	993,188721	2021-05-15T14:18:11:990
993,198059	168,294357	26,859999	993,180908	2021-05-15T14:18:12:991
993,194824	168,323410	26,859999	993,165527	2021-05-15T14:18:13:991
993,192810	168,339264	26,869999	993,174561	2021-05-15T14:18:14:992
993,194641	168,323410	26,869999	993,210693	2021-05-15T14:18:15:994
993,193420	168,333984	26,869999	993,182373	2021-05-15T14:18:16:995
993,195129	168,320770	26,869999	993,210205	2021-05-15T14:18:18:7
993,196106	168,312851	26,879999	993,204590	2021-05-15T14:18:18:998
993,197327	168,302277	26,889999	993,208496	2021-05-15T14:18:19:998
993,199280	168,283783	26,879999	993,217041	2021-05-15T14:18:20:999
993,200989	168,270569	26,889999	993,216064	2021-05-15T14:18:22:0
993,201660	168,265289	26,900000	993,208008	2021-05-15T14:18:23:1
993,202881	168,254715	26,900000	993,213867	2021-05-15T14:18:24:2
993,206177	168,225647	26,900000	993,235596	2021-05-15T14:18:25:3
993,202820	168,254715	26,910000	993,172119	2021-05-15T14:18:26:4
993,204895	168,236221	26,910000	993,223877	2021-05-15T14:18:27:5
993,200562	168,273209	26,910000	993,161133	2021-05-15T14:18:28:13
993,198975	168,286423	26,920000	993,184570	2021-05-15T14:18:29:6
993,199463	168,283783	26,920000	993,203857	2021-05-15T14:18:30:8
993,200073	168,278503	26,920000	993,205322	2021-05-15T14:18:31:10
993,202576	168,257355	26,939999	993,224609	2021-05-15T14:18:32:9
993,202820	168,254715	26,930000	993,204590	2021-05-15T14:18:33:10
993,205872	168,228302	26,930000	993,233398	2021-05-15T14:18:34:12
993,211060	168,186020	26,939999	993,258057	2021-05-15T14:18:35:12
993,210144	168,193939	26,939999	993,201416	2021-05-15T14:18:36:13
993,211121	168,186020	26,949999	993,220215	2021-05-15T14:18:37:14
993,212402	168,172806	26,949999	993,223389	2021-05-15T14:18:38:16
993,214905	168,154312	26,949999	993,237549	2021-05-15T14:18:39:17
993,216248	168,141098	26,959999	993,228516	2021-05-15T14:18:40:17
993,217529	168,130524	26,959999	993,229248	2021-05-15T14:18:41:18
993,224243	168,075043	26,969999	993,284668	2021-05-15T14:18:42:19
993,227539	168,045975	26,959999	993,257324	2021-05-15T14:18:43:20
993,229309	168,030121	26,980000	993,245117	2021-05-15T14:18:44:21
993,231079	168,016907	26,980000	993,247070	2021-05-15T14:18:45:22
993,229553	168,030121	26,980000	993,215820	2021-05-15T14:18:46:23
993,229492	168,030121	26,990000	993,229248	2021-05-15T14:18:47:25
993,230225	168,022202	26,990000	993,237305	2021-05-15T14:18:48:25
993,231018	168,016907	27,000000	993,238281	2021-05-15T14:18:49:26
993,225098	168,067123	27,000000	993,171631	2021-05-15T14:18:50:27
993,218750	168,119965	27,000000	993,161377	2021-05-15T14:18:51:28
993,211304	168,183380	27,000000	993,144043	2021-05-15T14:18:52:29
993,208130	168,209793	27,010000	993,179688	2021-05-15T14:18:53:30
993,202454	168,257355	27,010000	993,151367	2021-05-15T14:18:54:31
993,199707	168,281143	27,010000	993,174561	2021-05-15T14:18:55:32
993,194580	168,326065	27,019999	993,148438	2021-05-15T14:18:56:33
993,196655	168,307556	27,019999	993,214844	2021-05-15T14:18:57:34
993,197815	168,296997	27,029999	993,208496	2021-05-15T14:18:58:35
993,198792	168,289062	27,029999	993,207520	2021-05-15T14:18:59:36
993,199341	168,283783	27,029999	993,204346	2021-05-15T14:19:00:37
993,200806	168,273209	27,039999	993,213867	2021-05-15T14:19:01:38
993,202087	168,262650	27,039999	993,214111	2021-05-15T14:19:02:46
993,203125	168,252075	27,039999	993,212891	2021-05-15T14:19:03:40
993,201721	168,265289	27,049999	993,188965	2021-05-15T14:19:04:41
993,202271	168,260010	27,049999	993,207031	2021-05-15T14:19:05:42
993,202698	168,257355	27,059999	993,206787	2021-05-15T14:19:06:42
993,200256	168,275848	27,059999	993,178223	2021-05-15T14:19:07:44
993,199097	168,286423	27,059999	993,188965	2021-05-15T14:19:08:45
993,201599	168,265289	27,059999	993,224121	2021-05-15T14:19:09:46
993,202820	168,254715	27,070000	993,213867	2021-05-15T14:19:10:46
993,202820	168,254715	27,070000	993,202881	2021-05-15T14:19:11:48
993,202332	168,260010	27,070000	993,197998	2021-05-15T14:19:12:48
993,202515	168,257355	27,080000	993,204346	2021-05-15T14:19:13:49
993,204041	168,244156	27,080000	993,217529	2021-05-15T14:19:14:50
993,205383	168,233582	27,090000	993,217285	2021-05-15T14:19:15:51
993,203186	168,252075	27,090000	993,183594	2021-05-15T14:19:16:54
993,202209	168,260010	27,099998	993,193115	2021-05-15T14:19:17:54
993,202820	168,254715	27,099998	993,208496	2021-05-15T14:19:18:54
993,203857	168,246796	27,099998	993,213379	2021-05-15T14:19:19:56
993,206787	168,220367	27,109999	993,233643	2021-05-15T14:19:20:56
993,210205	168,191299	27,109999	993,240967	2021-05-15T14:19:21:57
993,212524	168,172806	27,119999	993,233154	2021-05-15T14:19:22:58
993,210083	168,193939	27,119999	993,188477	2021-05-15T14:19:23:59
993,210815	168,186020	27,119999	993,217529	2021-05-15T14:19:24:61
993,210449	168,191299	27,129999	993,207275	2021-05-15T14:19:25:61
993,209900	168,193939	27,129999	993,204590	2021-05-15T14:19:26:73
993,209961	168,193939	27,139999	993,210205	2021-05-15T14:19:27:63
993,208984	168,201874	27,139999	993,200439	2021-05-15T14:19:28:64
993,206421	168,225647	27,150000	993,183594	2021-05-15T14:19:29:65
993,205200	168,233582	27,150000	993,194336	2021-05-15T14:19:30:66
993,207397	168,217728	27,150000	993,227051	2021-05-15T14:19:31:68
993,206360	168,225647	27,160000	993,196777	2021-05-15T14:19:32:68
993,209900	168,193939	27,160000	993,242188	2021-05-15T14:19:33:69
993,211731	168,180740	27,170000	993,228027	2021-05-15T14:19:34:70
993,209656	168,196594	27,160000	993,190918	2021-05-15T14:19:35:71
993,208679	168,204514	27,170000	993,199951	2021-05-15T14:19:36:72
993,210083	168,193939	27,180000	993,222656	2021-05-15T14:19:37:73
993,206909	168,220367	27,180000	993,178467	2021-05-15T14:19:38:74
993,206726	168,223007	27,180000	993,205078	2021-05-15T14:19:39:75
993,205505	168,233582	27,189999	993,194336	2021-05-15T14:19:40:76
993,207642	168,215088	27,189999	993,226807	2021-05-15T14:19:41:77
993,209229	168,201874	27,189999	993,223389	2021-05-15T14:19:42:78
993,209839	168,196594	27,189999	993,215332	2021-05-15T14:19:43:78
993,207947	168,212448	27,199999	993,190674	2021-05-15T14:19:44:80
993,203369	168,249435	27,199999	993,161865	2021-05-15T14:19:45:81
993,203125	168,252075	27,199999	993,200928	2021-05-15T14:19:46:82
993,200745	168,273209	27,209999	993,178955	2021-05-15T14:19:47:82
993,200073	168,278503	27,209999	993,193848	2021-05-15T14:19:48:84
993,200867	168,270569	27,209999	993,207520	2021-05-15T14:19:49:85
993,200867	168,270569	27,219999	993,200928	2021-05-15T14:19:50:86
993,198425	168,291702	27,230000	993,176514	2021-05-15T14:19:51:86
993,199524	168,283783	27,230000	993,209473	2021-05-15T14:19:52:99
993,200684	168,273209	27,230000	993,210938	2021-05-15T14:19:53:89
993,202026	168,262650	27,230000	993,213867	2021-05-15T14:19:54:89
993,201599	168,265289	27,240000	993,198242	2021-05-15T14:19:55:90
993,203003	168,254715	27,240000	993,215576	2021-05-15T14:19:56:92
993,201782	168,265289	27,250000	993,190918	2021-05-15T14:19:57:93
993,207275	168,217728	27,250000	993,256836	2021-05-15T14:19:58:94
993,211975	168,178085	27,260000	993,253906	2021-05-15T14:19:59:94
993,212646	168,172806	27,260000	993,218506	2021-05-15T14:20:00:95
993,215210	168,151672	27,260000	993,238525	2021-05-15T14:20:01:97
993,210449	168,191299	27,260000	993,167236	2021-05-15T14:20:02:98
993,208923	168,204514	27,269999	993,194824	2021-05-15T14:20:03:98
993,208374	168,207153	27,269999	993,203369	2021-05-15T14:20:04:100
993,209167	168,201874	27,269999	993,216064	2021-05-15T14:20:05:100
993,210388	168,191299	27,279999	993,220947	2021-05-15T14:20:06:102
993,215271	168,149033	27,279999	993,259033	2021-05-15T14:20:07:102
993,217957	168,127884	27,279999	993,241699	2021-05-15T14:20:08:103
993,223389	168,080322	27,289999	993,272217	2021-05-15T14:20:09:104
993,227905	168,043335	27,289999	993,269043	2021-05-15T14:20:10:105
993,228638	168,035416	27,289999	993,235352	2021-05-15T14:20:11:106
993,229553	168,030121	27,299999	993,237793	2021-05-15T14:20:12:117
993,231995	168,008987	27,299999	993,253906	2021-05-15T14:20:13:108
993,231018	168,016907	27,309999	993,222168	2021-05-15T14:20:14:109
993,234314	167,987854	27,309999	993,263672	2021-05-15T14:20:15:110
993,234192	167,990494	27,309999	993,232910	2021-05-15T14:20:16:121
993,235352	167,979919	27,309999	993,245850	2021-05-15T14:20:17:112
993,233215	167,998413	27,320000	993,213623	2021-05-15T14:20:18:113
993,233521	167,995773	27,320000	993,236328	2021-05-15T14:20:19:114
993,226990	168,051270	27,320000	993,167969	2021-05-15T14:20:20:115
993,225586	168,061829	27,330000	993,212646	2021-05-15T14:20:21:116
993,223206	168,082977	27,330000	993,201660	2021-05-15T14:20:22:117
993,223938	168,077682	27,330000	993,230469	2021-05-15T14:20:23:118
993,223267	168,082977	27,340000	993,216797	2021-05-15T14:20:24:118
993,221802	168,093536	27,340000	993,208496	2021-05-15T14:20:25:120
993,220215	168,109390	27,340000	993,205811	2021-05-15T14:20:26:121
993,220520	168,106750	27,349998	993,223145	2021-05-15T14:20:27:122
993,222046	168,093536	27,349998	993,235840	2021-05-15T14:20:28:124
993,223938	168,077682	27,359999	993,240967	2021-05-15T14:20:29:124
993,223450	168,080322	27,359999	993,218750	2021-05-15T14:20:30:125
993,224609	168,069763	27,359999	993,235352	2021-05-15T14:20:31:126
993,222717	168,085617	27,369999	993,205811	2021-05-15T14:20:32:126
993,220459	168,106750	27,359999	993,199707	2021-05-15T14:20:33:128
993,221252	168,098816	27,369999	993,228516	2021-05-15T14:20:34:129
993,221680	168,096176	27,379999	993,225342	2021-05-15T14:20:35:130
993,220764	168,104111	27,379999	993,212646	2021-05-15T14:20:36:130
993,218506	168,122604	27,379999	993,197754	2021-05-15T14:20:37:132
993,216248	168,141098	27,379999	993,196289	2021-05-15T14:20:38:133
993,213196	168,167526	27,389999	993,185547	2021-05-15T14:20:39:134
993,212036	168,178085	27,389999	993,201660	2021-05-15T14:20:40:134
993,211609	168,180740	27,389999	993,208008	2021-05-15T14:20:41:136
993,210083	168,193939	27,400000	993,196045	2021-05-15T14:20:42:137
993,205994	168,228302	27,389999	993,169434	2021-05-15T14:20:43:137
993,205872	168,228302	27,400000	993,204834	2021-05-15T14:20:44:138
993,205933	168,228302	27,410000	993,206299	2021-05-15T14:20:45:139
993,203003	168,254715	27,400000	993,176514	2021-05-15T14:20:46:140
993,203430	168,249435	27,400000	993,207275	2021-05-15T14:20:47:141
993,201660	168,265289	27,410000	993,186035	2021-05-15T14:20:48:142
993,199890	168,278503	27,420000	993,184082	2021-05-15T14:20:49:144
993,199219	168,286423	27,420000	993,193115	2021-05-15T14:20:50:144
993,198242	168,294357	27,420000	993,189209	2021-05-15T14:20:51:145
993,198792	168,289062	27,420000	993,203613	2021-05-15T14:20:52:146
993,201599	168,265289	27,420000	993,226562	2021-05-15T14:20:53:159
993,199402	168,283783	27,430000	993,179443	2021-05-15T14:20:54:148
993,198242	168,294357	27,430000	993,187744	2021-05-15T14:20:55:149
993,199280	168,283783	27,430000	993,208496	2021-05-15T14:20:56:150
993,199341	168,283783	27,430000	993,199707	2021-05-15T14:20:57:159
993,200562	168,273209	27,439999	993,211426	2021-05-15T14:20:58:152
993,198364	168,291702	27,439999	993,178711	2021-05-15T14:20:59:153
993,200928	168,270569	27,439999	993,224121	2021-05-15T14:21:00:154
993,203796	168,246796	27,449999	993,229492	2021-05-15T14:21:01:155
993,203735	168,246796	27,449999	993,203125	2021-05-15T14:21:02:156
993,204712	168,238861	27,449999	993,213379	2021-05-15T14:21:03:157
993,203369	168,249435	27,459999	993,191162	2021-05-15T14:21:04:158
993,203552	168,249435	27,449999	993,205566	2021-05-15T14:21:05:158
993,203552	168,249435	27,449999	993,203369	2021-05-15T14:21:06:160
993,204041	168,244156	27,459999	993,208496	2021-05-15T14:21:07:170
993,205078	168,236221	27,459999	993,214355	2021-05-15T14:21:08:162
993,202515	168,257355	27,459999	993,179688	2021-05-15T14:21:09:162
993,200500	168,275848	27,469999	993,181885	2021-05-15T14:21:10:164
993,197205	168,302277	27,469999	993,167725	2021-05-15T14:21:11:165
993,197632	168,299637	27,480000	993,201416	2021-05-15T14:21:12:166
993,196716	168,307556	27,469999	993,188232	2021-05-15T14:21:13:167
993,198059	168,294357	27,469999	993,210205	2021-05-15T14:21:14:168
993,196960	168,304916	27,480000	993,186768	2021-05-15T14:21:15:169
993,194031	168,328705	27,480000	993,167236	2021-05-15T14:21:16:170
993,193970	168,328705	27,490000	993,193115	2021-05-15T14:21:17:170
993,193604	168,333984	27,490000	993,190186	2021-05-15T14:21:18:172
993,194824	168,323410	27,490000	993,206055	2021-05-15T14:21:19:173
993,194275	168,326065	27,490000	993,189209	2021-05-15T14:21:20:174
993,194153	168,328705	27,490000	993,193115	2021-05-15T14:21:21:174
993,194031	168,328705	27,500000	993,193115	2021-05-15T14:21:22:176
993,193909	168,331345	27,500000	993,192383	2021-05-15T14:21:23:176
993,196167	168,310211	27,500000	993,216064	2021-05-15T14:21:24:178
993,191833	168,347198	27,510000	993,152588	2021-05-15T14:21:25:178
993,189819	168,365692	27,500000	993,171631	2021-05-15T14:21:26:179
993,186951	168,389481	27,510000	993,161133	2021-05-15T14:21:27:180
993,189636	168,365692	27,510000	993,213867	2021-05-15T14:21:28:181
993,191345	168,352478	27,510000	993,206543	2021-05-15T14:21:29:182
993,193420	168,333984	27,519999	993,212158	2021-05-15T14:21:30:193
993,192810	168,339264	27,519999	993,187256	2021-05-15T14:21:31:184
