light_level	ts
1584,000000	2021-05-15T14:11:32:763
1628,000000	2021-05-15T14:11:33:601
1676,000000	2021-05-15T14:11:34:602
1672,000000	2021-05-15T14:11:35:602
1780,000000	2021-05-15T14:11:36:600
1808,000000	2021-05-15T14:11:37:605
1808,000000	2021-05-15T14:11:38:605
1812,000000	2021-05-15T14:11:39:606
1812,000000	2021-05-15T14:11:40:606
1812,000000	2021-05-15T14:11:41:607
1808,000000	2021-05-15T14:11:42:609
1808,000000	2021-05-15T14:11:43:609
1804,000000	2021-05-15T14:11:44:610
1788,000000	2021-05-15T14:11:45:612
1800,000000	2021-05-15T14:11:46:613
1800,000000	2021-05-15T14:11:47:613
1800,000000	2021-05-15T14:11:48:614
1800,000000	2021-05-15T14:11:49:615
1796,000000	2021-05-15T14:11:50:616
1796,000000	2021-05-15T14:11:51:617
1796,000000	2021-05-15T14:11:52:618
1792,000000	2021-05-15T14:11:53:620
1792,000000	2021-05-15T14:11:54:620
1792,000000	2021-05-15T14:11:55:621
1788,000000	2021-05-15T14:11:56:622
1780,000000	2021-05-15T14:11:57:623
1780,000000	2021-05-15T14:11:58:624
1784,000000	2021-05-15T14:11:59:625
1784,000000	2021-05-15T14:12:00:626
1784,000000	2021-05-15T14:12:01:627
1784,000000	2021-05-15T14:12:02:629
1784,000000	2021-05-15T14:12:03:629
1784,000000	2021-05-15T14:12:04:629
1784,000000	2021-05-15T14:12:05:631
1784,000000	2021-05-15T14:12:06:632
1784,000000	2021-05-15T14:12:07:633
1784,000000	2021-05-15T14:12:08:634
1784,000000	2021-05-15T14:12:09:635
1784,000000	2021-05-15T14:12:10:636
1784,000000	2021-05-15T14:12:11:637
1784,000000	2021-05-15T14:12:12:638
1780,000000	2021-05-15T14:12:13:649
1784,000000	2021-05-15T14:12:14:641
1784,000000	2021-05-15T14:12:15:641
1784,000000	2021-05-15T14:12:16:652
1784,000000	2021-05-15T14:12:17:642
1784,000000	2021-05-15T14:12:18:644
1784,000000	2021-05-15T14:12:19:645
1784,000000	2021-05-15T14:12:20:645
1784,000000	2021-05-15T14:12:21:646
1784,000000	2021-05-15T14:12:22:647
1784,000000	2021-05-15T14:12:23:649
1784,000000	2021-05-15T14:12:24:650
1784,000000	2021-05-15T14:12:25:650
1776,000000	2021-05-15T14:12:26:651
1776,000000	2021-05-15T14:12:27:652
1776,000000	2021-05-15T14:12:28:653
1772,000000	2021-05-15T14:12:29:654
1768,000000	2021-05-15T14:12:30:656
1756,000000	2021-05-15T14:12:31:656
1760,000000	2021-05-15T14:12:32:657
1756,000000	2021-05-15T14:12:33:658
1756,000000	2021-05-15T14:12:34:659
1748,000000	2021-05-15T14:12:35:660
1744,000000	2021-05-15T14:12:36:661
1720,000000	2021-05-15T14:12:37:662
1692,000000	2021-05-15T14:12:38:663
1708,000000	2021-05-15T14:12:39:664
1704,000000	2021-05-15T14:12:40:665
1700,000000	2021-05-15T14:12:41:666
1628,000000	2021-05-15T14:12:42:667
1684,000000	2021-05-15T14:12:43:668
