x	y	z	ts
-0,485743	-3,675375	9,214760	2021-05-12T16:16:59:318
-0,531207	-3,701697	9,245867	2021-05-12T16:16:59:336
-0,483350	-3,605984	9,253045	2021-05-12T16:16:59:359
-0,490529	-3,651447	9,253045	2021-05-12T16:16:59:376
-0,449851	-3,634698	9,253045	2021-05-12T16:16:59:398
-0,473779	-3,656233	9,245867	2021-05-12T16:16:59:416
-0,485743	-3,699304	9,238688	2021-05-12T16:16:59:440
-0,473779	-3,675375	9,243474	2021-05-12T16:16:59:456
-0,478565	-3,663411	9,231510	2021-05-12T16:16:59:480
-0,442672	-3,754339	9,303294	2021-05-12T16:16:59:496
-0,531207	-3,723232	9,274581	2021-05-12T16:16:59:520
-0,500100	-3,704089	9,265009	2021-05-12T16:16:59:536
-0,514457	-3,613162	9,267403	2021-05-12T16:16:59:558
-0,478565	-3,651447	9,243474	2021-05-12T16:16:59:576
-0,531207	-3,641876	9,269794	2021-05-12T16:16:59:600
-0,425922	-3,558127	9,238688	2021-05-12T16:16:59:617
-0,524028	-3,670590	9,272188	2021-05-12T16:16:59:638
-0,485743	-3,651447	9,198010	2021-05-12T16:16:59:656
-0,447458	-3,661019	9,279366	2021-05-12T16:16:59:680
-0,459422	-3,716053	9,231510	2021-05-12T16:16:59:696
-0,440279	-3,632305	9,257831	2021-05-12T16:16:59:718
-0,461815	-3,682554	9,231510	2021-05-12T16:16:59:736
-0,519243	-3,613162	9,267403	2021-05-12T16:16:59:760
-0,485743	-3,591627	9,209974	2021-05-12T16:16:59:777
-0,473779	-3,718446	9,205189	2021-05-12T16:16:59:798
-0,488136	-3,677768	9,248260	2021-05-12T16:16:59:816
-0,452243	-3,627519	9,236296	2021-05-12T16:16:59:841
-0,495314	-3,680161	9,300901	2021-05-12T16:16:59:856
-0,531207	-3,675375	9,286544	2021-05-12T16:16:59:879
-0,416351	-3,629912	9,245867	2021-05-12T16:16:59:897
-0,490529	-3,696911	9,224331	2021-05-12T16:16:59:921
-0,533599	-3,665804	9,401401	2021-05-12T16:16:59:937
-0,418744	-3,646662	9,233903	2021-05-12T16:16:59:959
-0,528814	-3,555735	9,296116	2021-05-12T16:16:59:977
-0,433101	-3,603590	9,279366	2021-05-12T16:17:00:0
-0,480957	-3,608376	9,243474	2021-05-12T16:17:00:16
-0,466600	-3,536592	9,334401	2021-05-12T16:17:00:39
-0,461815	-3,605984	9,279366	2021-05-12T16:17:00:56
-0,504886	-3,680161	9,279366	2021-05-12T16:17:00:81
-0,442672	-3,649055	9,355937	2021-05-12T16:17:00:97
-0,473779	-3,649055	9,245867	2021-05-12T16:17:00:119
-0,497707	-3,574877	9,272188	2021-05-12T16:17:00:137
-0,452243	-3,577270	9,284152	2021-05-12T16:17:00:160
-0,509671	-3,584448	9,260223	2021-05-12T16:17:00:177
-0,461815	-3,704089	9,253045	2021-05-12T16:17:00:199
-0,516850	-3,605984	9,221939	2021-05-12T16:17:00:217
-0,495314	-3,596412	9,253045	2021-05-12T16:17:00:241
-0,471386	-3,663411	9,250652	2021-05-12T16:17:00:257
-0,457029	-3,680161	9,310472	2021-05-12T16:17:00:279
-0,543171	-3,596412	9,291330	2021-05-12T16:17:00:297
-0,500100	-3,663411	9,243474	2021-05-12T16:17:00:321
-0,485743	-3,634698	9,267403	2021-05-12T16:17:00:337
-0,524028	-3,598805	9,274581	2021-05-12T16:17:00:359
-0,464208	-3,598805	9,300901	2021-05-12T16:17:00:377
-0,452243	-3,558127	9,310472	2021-05-12T16:17:00:401
-0,478565	-3,639483	9,269794	2021-05-12T16:17:00:417
-0,492921	-3,622734	9,276974	2021-05-12T16:17:00:439
-0,497707	-3,684947	9,276974	2021-05-12T16:17:00:457
-0,457029	-3,675375	9,238688	2021-05-12T16:17:00:481
-0,483350	-3,735196	9,274581	2021-05-12T16:17:00:497
-0,495314	-3,694518	9,217153	2021-05-12T16:17:00:519
-0,531207	-3,620341	9,248260	2021-05-12T16:17:00:537
-0,514457	-3,665804	9,298509	2021-05-12T16:17:00:561
-0,557528	-3,603590	9,257831	2021-05-12T16:17:00:577
-0,464208	-3,608376	9,224331	2021-05-12T16:17:00:599
-0,504886	-3,696911	9,231510	2021-05-12T16:17:00:703
-0,449851	-3,632305	9,269794	2021-05-12T16:17:00:707
-0,488136	-3,675375	9,248260	2021-05-12T16:17:00:710
-0,480957	-3,670590	9,248260	2021-05-12T16:17:00:712
-0,521635	-3,608376	9,257831	2021-05-12T16:17:00:716
-0,559920	-3,558127	9,300901	2021-05-12T16:17:00:720
-0,533599	-3,711268	9,272188	2021-05-12T16:17:00:738
-0,550349	-3,668197	9,226725	2021-05-12T16:17:00:759
-0,490529	-3,613162	9,262616	2021-05-12T16:17:00:777
-0,512064	-3,579663	9,272188	2021-05-12T16:17:00:802
-0,550349	-3,637090	9,281759	2021-05-12T16:17:00:817
-0,547956	-3,706482	9,274581	2021-05-12T16:17:00:840
-0,567099	-3,689733	9,231510	2021-05-12T16:17:00:857
-0,485743	-3,713661	9,269794	2021-05-12T16:17:00:881
-0,550349	-3,644269	9,257831	2021-05-12T16:17:00:897
-0,512064	-3,610770	9,284152	2021-05-12T16:17:00:920
-0,562313	-3,570091	9,296116	2021-05-12T16:17:00:937
-0,485743	-3,579663	9,233903	2021-05-12T16:17:00:961
-0,550349	-3,708875	9,236296	2021-05-12T16:17:00:977
-0,485743	-3,706482	9,265009	2021-05-12T16:17:00:999
-0,509671	-3,622734	9,243474	2021-05-12T16:17:01:17
-0,583849	-3,653840	9,245867	2021-05-12T16:17:01:43
-0,471386	-3,629912	9,324830	2021-05-12T16:17:01:57
-0,557528	-3,639483	9,305687	2021-05-12T16:17:01:81
-0,576670	-3,732803	9,262616	2021-05-12T16:17:01:98
-0,514457	-3,684947	9,253045	2021-05-12T16:17:01:123
-0,528814	-3,723232	9,276974	2021-05-12T16:17:01:137
-0,483350	-3,658626	9,241080	2021-05-12T16:17:01:160
-0,567099	-3,641876	9,286544	2021-05-12T16:17:01:177
-0,600598	-3,634698	9,238688	2021-05-12T16:17:01:201
-0,504886	-3,651447	9,276974	2021-05-12T16:17:01:218
-0,495314	-3,572484	9,298509	2021-05-12T16:17:01:240
-0,552742	-3,646662	9,243474	2021-05-12T16:17:01:258
-0,512064	-3,692125	9,279366	2021-05-12T16:17:01:281
-0,485743	-3,627519	9,274581	2021-05-12T16:17:01:298
-0,492921	-3,639483	9,231510	2021-05-12T16:17:01:320
-0,567099	-3,605984	9,238688	2021-05-12T16:17:01:338
-0,600598	-3,574877	9,226725	2021-05-12T16:17:01:361
-0,535992	-3,620341	9,288938	2021-05-12T16:17:01:378
-0,543171	-3,675375	9,241080	2021-05-12T16:17:01:400
-0,547956	-3,677768	9,260223	2021-05-12T16:17:01:418
-0,509671	-3,677768	9,279366	2021-05-12T16:17:01:441
-0,514457	-3,656233	9,245867	2021-05-12T16:17:01:458
-0,509671	-3,711268	9,221939	2021-05-12T16:17:01:481
-0,524028	-3,622734	9,276974	2021-05-12T16:17:01:498
-0,452243	-3,570091	9,288938	2021-05-12T16:17:01:521
-0,547956	-3,579663	9,303294	2021-05-12T16:17:01:538
-0,478565	-3,680161	9,286544	2021-05-12T16:17:01:560
-0,437887	-3,625126	9,272188	2021-05-12T16:17:01:578
-0,524028	-3,577270	9,267403	2021-05-12T16:17:01:601
-0,473779	-3,629912	9,257831	2021-05-12T16:17:01:619
-0,543171	-3,737589	9,241080	2021-05-12T16:17:01:641
-0,533599	-3,687340	9,245867	2021-05-12T16:17:01:659
-0,454636	-3,704089	9,248260	2021-05-12T16:17:01:682
-0,452243	-3,598805	9,226725	2021-05-12T16:17:01:698
-0,502493	-3,668197	9,296116	2021-05-12T16:17:01:720
-0,531207	-3,644269	9,257831	2021-05-12T16:17:01:738
-0,545564	-3,560520	9,233903	2021-05-12T16:17:01:762
-0,468993	-3,634698	9,229117	2021-05-12T16:17:01:778
-0,526421	-3,668197	9,262616	2021-05-12T16:17:01:800
-0,521635	-3,605984	9,257831	2021-05-12T16:17:01:818
-0,526421	-3,699304	9,226725	2021-05-12T16:17:01:843
-0,535992	-3,704089	9,253045	2021-05-12T16:17:01:858
-0,490529	-3,641876	9,276974	2021-05-12T16:17:01:882
