x	y	z	ts
-8,544770	-1,708475	1,253839	2021-05-12T16:21:59:334
-8,953942	-1,749153	1,215554	2021-05-12T16:21:59:350
-9,846465	-1,828116	1,105484	2021-05-12T16:21:59:373
-11,313265	-1,818545	1,167697	2021-05-12T16:21:59:390
-12,148360	-1,768296	1,165305	2021-05-12T16:21:59:414
-11,334801	-1,866402	1,103091	2021-05-12T16:21:59:430
-10,145569	-2,026721	1,373480	2021-05-12T16:21:59:453
-9,312866	-2,282753	1,576870	2021-05-12T16:21:59:470
-9,016156	-2,325824	1,622334	2021-05-12T16:21:59:495
-9,377472	-2,354537	1,564906	2021-05-12T16:21:59:510
-9,640682	-2,165504	1,356731	2021-05-12T16:21:59:533
-9,635897	-2,199004	1,153341	2021-05-12T16:21:59:550
-9,597611	-2,024328	1,213161	2021-05-12T16:21:59:574
-9,521042	-2,026721	1,277767	2021-05-12T16:21:59:590
-9,458827	-2,232504	1,426122	2021-05-12T16:21:59:613
-9,466006	-2,378466	1,442872	2021-05-12T16:21:59:630
-9,410972	-2,589034	1,524228	2021-05-12T16:21:59:654
-9,365508	-2,663212	1,540978	2021-05-12T16:21:59:670
-9,387043	-2,557927	1,459622	2021-05-12T16:21:59:693
-9,659825	-2,677568	1,545763	2021-05-12T16:21:59:710
-10,260423	-2,665605	1,572084	2021-05-12T16:21:59:734
-11,330014	-2,720639	1,789831	2021-05-12T16:21:59:750
-11,617154	-2,732604	1,919044	2021-05-12T16:21:59:775
-9,753145	-2,545963	1,660619	2021-05-12T16:21:59:790
-7,652246	-2,505285	1,344766	2021-05-12T16:21:59:817
-7,022934	-2,481357	1,294517	2021-05-12T16:21:59:830
-7,508677	-2,581856	1,234696	2021-05-12T16:21:59:855
-8,688338	-2,792424	1,313660	2021-05-12T16:21:59:870
-9,578469	-2,457429	1,217947	2021-05-12T16:21:59:896
-10,317852	-2,287539	1,153341	2021-05-12T16:21:59:914
-10,413565	-2,364109	1,004985	2021-05-12T16:21:59:934
-9,927821	-2,385644	0,978664	2021-05-12T16:21:59:950
-9,375079	-2,464607	1,091127	2021-05-12T16:21:59:975
-9,052048	-2,526821	1,100698	2021-05-12T16:21:59:990
-8,633304	-2,667997	1,064806	2021-05-12T16:22:00:14
-8,635696	-2,706282	0,947558	2021-05-12T16:22:00:30
-8,855836	-2,438286	0,842274	2021-05-12T16:22:00:56
-9,071191	-2,313859	0,801596	2021-05-12T16:22:00:71
-9,339187	-2,017149	0,830309	2021-05-12T16:22:00:93
-9,729217	-2,000400	0,739382	2021-05-12T16:22:00:110
-10,006784	-2,033899	0,758525	2021-05-12T16:22:00:135
-10,076177	-2,079363	0,835095	2021-05-12T16:22:00:150
-9,920642	-2,120041	0,727418	2021-05-12T16:22:00:173
-9,724431	-2,067399	0,562313	2021-05-12T16:22:00:191
-9,702895	-2,067399	0,605384	2021-05-12T16:22:00:214
-9,884750	-2,136791	0,509671	2021-05-12T16:22:00:231
-9,836893	-2,117648	0,567099	2021-05-12T16:22:00:253
-9,561719	-2,103291	0,593420	2021-05-12T16:22:00:271
-9,375079	-2,100898	0,732204	2021-05-12T16:22:00:297
-9,265009	-2,139183	0,806381	2021-05-12T16:22:00:311
-9,171689	-2,091327	0,873380	2021-05-12T16:22:00:333
-9,131011	-2,048256	0,887737	2021-05-12T16:22:00:350
-9,284152	-2,000400	0,835095	2021-05-12T16:22:00:375
-9,958927	-1,959722	0,748954	2021-05-12T16:22:00:391
-10,518847	-1,926222	0,425922	2021-05-12T16:22:00:413
-11,164910	-1,866402	0,466600	2021-05-12T16:22:00:431
-11,045268	-1,871187	0,471386	2021-05-12T16:22:00:454
-9,597611	-1,830509	0,648455	2021-05-12T16:22:00:471
-8,154739	-1,880759	0,818345	2021-05-12T16:22:00:493
-7,618747	-2,072184	0,969093	2021-05-12T16:22:00:511
-7,970492	-2,091327	1,201197	2021-05-12T16:22:00:535
-8,678767	-1,849652	1,232304	2021-05-12T16:22:00:551
-9,284152	-1,655833	1,112662	2021-05-12T16:22:00:574
-9,568897	-1,509871	0,995414	2021-05-12T16:22:00:591
-9,406186	-1,237089	0,921237	2021-05-12T16:22:00:702
-9,068797	-1,165305	1,024128	2021-05-12T16:22:00:707
-8,475377	-1,103091	1,038485	2021-05-12T16:22:00:715
-8,190632	-1,272982	1,088734	2021-05-12T16:22:00:727
-8,681160	-1,529014	1,024128	2021-05-12T16:22:00:733
-10,028319	-1,770689	0,868595	2021-05-12T16:22:00:736
-11,660224	-1,706082	1,014557	2021-05-12T16:22:00:738
-12,244074	-1,607977	1,095913	2021-05-12T16:22:00:751
-11,112268	-1,701297	1,160519	2021-05-12T16:22:00:775
-9,798609	-1,804188	1,414158	2021-05-12T16:22:00:791
-8,968300	-1,938186	1,569692	2021-05-12T16:22:00:813
-8,870193	-2,244468	1,612763	2021-05-12T16:22:00:831
-9,348758	-2,230111	1,550549	2021-05-12T16:22:00:855
-9,389436	-1,986043	1,404587	2021-05-12T16:22:00:871
-9,391829	-1,856830	1,129412	2021-05-12T16:22:00:894
-9,451650	-1,856830	1,198804	2021-05-12T16:22:00:912
-9,387043	-2,036292	1,222732	2021-05-12T16:22:00:935
-9,434900	-2,225325	1,251446	2021-05-12T16:22:00:951
-9,600004	-2,402394	1,330409	2021-05-12T16:22:00:974
-9,750752	-2,548356	1,395016	2021-05-12T16:22:00:991
-10,222138	-2,679961	1,490728	2021-05-12T16:22:01:26
-10,643275	-2,799603	1,450050	2021-05-12T16:22:01:32
-10,846665	-2,756532	1,497907	2021-05-12T16:22:01:66
-10,612168	-2,835495	1,579263	2021-05-12T16:22:01:72
-9,444471	-2,756532	1,521835	2021-05-12T16:22:01:95
-8,104490	-2,660819	1,325624	2021-05-12T16:22:01:111
-7,587641	-2,751746	1,272982	2021-05-12T16:22:01:134
-8,042276	-2,758924	1,287339	2021-05-12T16:22:01:152
-8,829515	-2,557927	1,146162	2021-05-12T16:22:01:186
-9,568897	-2,309074	0,954736	2021-05-12T16:22:01:191
-10,150353	-2,289931	0,964308	2021-05-12T16:22:01:214
-10,277173	-2,440679	0,990629	2021-05-12T16:22:01:231
-9,791430	-2,596212	0,949951	2021-05-12T16:22:01:255
-9,554541	-2,567499	0,916451	2021-05-12T16:22:01:272
-8,946764	-2,663212	0,935594	2021-05-12T16:22:01:294
-8,623734	-2,723032	0,933201	2021-05-12T16:22:01:311
-8,539984	-2,581856	0,782453	2021-05-12T16:22:01:336
-8,757731	-2,330609	0,679562	2021-05-12T16:22:01:352
-9,145369	-2,304288	0,729811	2021-05-12T16:22:01:374
-9,676575	-2,242075	0,803988	2021-05-12T16:22:01:392
-10,360922	-2,352145	0,854238	2021-05-12T16:22:01:416
-10,774881	-2,273181	0,806381	2021-05-12T16:22:01:432
-10,234102	-2,234896	0,662812	2021-05-12T16:22:01:454
-9,406186	-2,208575	0,519243	2021-05-12T16:22:01:472
