light_intensity	ts
2830242,000000	2021-05-15T14:26:37:786
2867849,000000	2021-05-15T14:26:37:825
2892455,000000	2021-05-15T14:26:37:865
2885612,000000	2021-05-15T14:26:37:905
2875883,000000	2021-05-15T14:26:37:945
2859019,000000	2021-05-15T14:26:37:985
2839555,000000	2021-05-15T14:26:38:25
2825586,000000	2021-05-15T14:26:38:64
2819819,000000	2021-05-15T14:26:38:106
2819228,000000	2021-05-15T14:26:38:145
2862857,000000	2021-05-15T14:26:38:186
2889746,000000	2021-05-15T14:26:38:225
2891910,000000	2021-05-15T14:26:38:268
2874928,000000	2021-05-15T14:26:38:305
2862660,000000	2021-05-15T14:26:38:345
2854104,000000	2021-05-15T14:26:38:385
2833500,000000	2021-05-15T14:26:38:426
2817432,000000	2021-05-15T14:26:38:465
2825824,000000	2021-05-15T14:26:38:506
2822364,000000	2021-05-15T14:26:38:545
2846014,000000	2021-05-15T14:26:38:586
2884874,000000	2021-05-15T14:26:38:625
2909174,000000	2021-05-15T14:26:38:666
2910581,000000	2021-05-15T14:26:38:705
2896372,000000	2021-05-15T14:26:38:746
2877681,000000	2021-05-15T14:26:38:786
2864437,000000	2021-05-15T14:26:38:826
2849114,000000	2021-05-15T14:26:38:865
2839307,000000	2021-05-15T14:26:38:906
2851588,000000	2021-05-15T14:26:38:945
2893223,000000	2021-05-15T14:26:38:988
2934906,000000	2021-05-15T14:26:39:26
2939892,000000	2021-05-15T14:26:39:66
2918121,000000	2021-05-15T14:26:39:105
2899023,000000	2021-05-15T14:26:39:146
2898733,000000	2021-05-15T14:26:39:186
2890652,000000	2021-05-15T14:26:39:227
2882589,000000	2021-05-15T14:26:39:265
2879720,000000	2021-05-15T14:26:39:306
2898918,000000	2021-05-15T14:26:39:346
2915196,000000	2021-05-15T14:26:39:387
2970557,000000	2021-05-15T14:26:39:426
2987178,000000	2021-05-15T14:26:39:467
2983982,000000	2021-05-15T14:26:39:506
2976607,000000	2021-05-15T14:26:39:547
2957111,000000	2021-05-15T14:26:39:588
2935449,000000	2021-05-15T14:26:39:627
2911176,000000	2021-05-15T14:26:39:666
2906872,000000	2021-05-15T14:26:39:707
2908822,000000	2021-05-15T14:26:39:746
2942990,000000	2021-05-15T14:26:39:788
2963268,000000	2021-05-15T14:26:39:827
2957935,000000	2021-05-15T14:26:39:867
2928706,000000	2021-05-15T14:26:39:906
2905791,000000	2021-05-15T14:26:39:948
