light_level	ts
24,000000	2021-05-15T14:29:11:633
36,000000	2021-05-15T14:29:12:633
56,000000	2021-05-15T14:29:13:635
40,000000	2021-05-15T14:29:14:638
36,000000	2021-05-15T14:29:15:637
52,000000	2021-05-15T14:29:16:638
44,000000	2021-05-15T14:29:17:638
32,000000	2021-05-15T14:29:18:640
36,000000	2021-05-15T14:29:19:641
60,000000	2021-05-15T14:29:20:641
44,000000	2021-05-15T14:29:21:642
40,000000	2021-05-15T14:29:22:643
52,000000	2021-05-15T14:29:23:644
56,000000	2021-05-15T14:29:24:645
40,000000	2021-05-15T14:29:25:646
40,000000	2021-05-15T14:29:26:647
60,000000	2021-05-15T14:29:27:648
40,000000	2021-05-15T14:29:28:650
32,000000	2021-05-15T14:29:29:651
56,000000	2021-05-15T14:29:30:651
52,000000	2021-05-15T14:29:31:653
40,000000	2021-05-15T14:29:32:654
44,000000	2021-05-15T14:29:33:655
56,000000	2021-05-15T14:29:34:655
40,000000	2021-05-15T14:29:35:657
36,000000	2021-05-15T14:29:36:661
60,000000	2021-05-15T14:29:37:682
60,000000	2021-05-15T14:29:38:659
40,000000	2021-05-15T14:29:39:660
40,000000	2021-05-15T14:29:40:661
64,000000	2021-05-15T14:29:41:662
44,000000	2021-05-15T14:29:42:663
40,000000	2021-05-15T14:29:43:664
52,000000	2021-05-15T14:29:44:665
52,000000	2021-05-15T14:29:45:666
36,000000	2021-05-15T14:29:46:667
52,000000	2021-05-15T14:29:47:668
60,000000	2021-05-15T14:29:48:669
40,000000	2021-05-15T14:29:49:670
44,000000	2021-05-15T14:29:50:671
68,000000	2021-05-15T14:29:51:672
36,000000	2021-05-15T14:29:52:673
40,000000	2021-05-15T14:29:53:674
52,000000	2021-05-15T14:29:54:672
72,000000	2021-05-15T14:29:55:675
44,000000	2021-05-15T14:29:56:677
44,000000	2021-05-15T14:29:57:677
72,000000	2021-05-15T14:29:58:679
44,000000	2021-05-15T14:29:59:680
44,000000	2021-05-15T14:30:00:681
72,000000	2021-05-15T14:30:01:682
64,000000	2021-05-15T14:30:02:693
48,000000	2021-05-15T14:30:03:684
60,000000	2021-05-15T14:30:04:685
80,000000	2021-05-15T14:30:05:686
56,000000	2021-05-15T14:30:06:688
48,000000	2021-05-15T14:30:07:687
76,000000	2021-05-15T14:30:08:689
72,000000	2021-05-15T14:30:09:689
56,000000	2021-05-15T14:30:10:691
68,000000	2021-05-15T14:30:11:692
84,000000	2021-05-15T14:30:12:693
56,000000	2021-05-15T14:30:13:694
64,000000	2021-05-15T14:30:14:694
80,000000	2021-05-15T14:30:15:696
56,000000	2021-05-15T14:30:16:694
56,000000	2021-05-15T14:30:17:697
84,000000	2021-05-15T14:30:18:698
64,000000	2021-05-15T14:30:19:700
56,000000	2021-05-15T14:30:20:701
80,000000	2021-05-15T14:30:21:702
80,000000	2021-05-15T14:30:22:702
56,000000	2021-05-15T14:30:23:703
68,000000	2021-05-15T14:30:24:704
92,000000	2021-05-15T14:30:25:706
64,000000	2021-05-15T14:30:26:706
56,000000	2021-05-15T14:30:27:704
92,000000	2021-05-15T14:30:28:708
60,000000	2021-05-15T14:30:29:709
48,000000	2021-05-15T14:30:30:710
80,000000	2021-05-15T14:30:31:711
76,000000	2021-05-15T14:30:32:712
64,000000	2021-05-15T14:30:33:713
48,000000	2021-05-15T14:30:34:714
92,000000	2021-05-15T14:30:35:712
56,000000	2021-05-15T14:30:36:716
52,000000	2021-05-15T14:30:37:718
84,000000	2021-05-15T14:30:38:715
84,000000	2021-05-15T14:30:39:719
56,000000	2021-05-15T14:30:40:716
48,000000	2021-05-15T14:30:41:718
52,000000	2021-05-15T14:30:42:723
60,000000	2021-05-15T14:30:43:723
84,000000	2021-05-15T14:30:44:724
64,000000	2021-05-15T14:30:45:725
20,000000	2021-05-15T14:30:46:726
20,000000	2021-05-15T14:30:47:727
20,000000	2021-05-15T14:30:48:728
44,000000	2021-05-15T14:30:49:729
44,000000	2021-05-15T14:30:50:729
44,000000	2021-05-15T14:30:51:732
48,000000	2021-05-15T14:30:52:732
44,000000	2021-05-15T14:30:53:733
48,000000	2021-05-15T14:30:54:734
44,000000	2021-05-15T14:30:55:735
44,000000	2021-05-15T14:30:56:736
44,000000	2021-05-15T14:30:57:737
44,000000	2021-05-15T14:30:58:738
48,000000	2021-05-15T14:30:59:739
44,000000	2021-05-15T14:31:00:740
44,000000	2021-05-15T14:31:01:741
44,000000	2021-05-15T14:31:02:742
48,000000	2021-05-15T14:31:03:743
44,000000	2021-05-15T14:31:04:744
44,000000	2021-05-15T14:31:05:745
44,000000	2021-05-15T14:31:06:746
44,000000	2021-05-15T14:31:07:747
44,000000	2021-05-15T14:31:08:748
44,000000	2021-05-15T14:31:09:748
44,000000	2021-05-15T14:31:10:749
44,000000	2021-05-15T14:31:11:751
44,000000	2021-05-15T14:31:12:752
44,000000	2021-05-15T14:31:13:753
48,000000	2021-05-15T14:31:14:753
48,000000	2021-05-15T14:31:15:754
48,000000	2021-05-15T14:31:16:756
48,000000	2021-05-15T14:31:17:757
48,000000	2021-05-15T14:31:18:757
48,000000	2021-05-15T14:31:19:759
48,000000	2021-05-15T14:31:20:762
48,000000	2021-05-15T14:31:21:761
48,000000	2021-05-15T14:31:22:761
48,000000	2021-05-15T14:31:23:762
48,000000	2021-05-15T14:31:24:764
48,000000	2021-05-15T14:31:25:765
48,000000	2021-05-15T14:31:26:765
48,000000	2021-05-15T14:31:27:766
48,000000	2021-05-15T14:31:28:767
52,000000	2021-05-15T14:31:29:769
52,000000	2021-05-15T14:31:30:770
52,000000	2021-05-15T14:31:31:770
